gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,L1,solve_src
b1377,,270,424,0.0992479883158474,0.0,0.0992479883158474,1,26792.529501201203,0.0,infeasible
b2215,,271,424,0.0992479883158474,0.0,0.0992479883158474,1,26792.529501201203,0.0,infeasible
b0929,,271,424,0.0992479883158474,0.0,0.0992479883158474,1,26792.529501201203,0.0,infeasible
b0241,,270,424,0.0992479883158474,0.0,0.0992479883158474,1,26792.529501201203,0.0,infeasible
b4034,,6,8,0.0992479883158474,0.0992479883158474,0.0,0,1.0694028240825033e-06,749.5838314199057,highs_pfba
b4033,,6,8,0.0992479883158474,0.0992479883158474,0.0,0,1.0694028240825033e-06,749.5838314199057,highs_pfba
b4032,,6,8,0.0992479883158474,0.0992479883158474,0.0,0,1.0694028240825033e-06,749.5838314199057,highs_pfba
b4035,,6,8,0.0992479883158474,0.0992479883158474,0.0,0,1.0694028240825033e-06,749.5838314199057,highs_pfba
b4036,,7,2,0.0992479883158474,0.0992479883158519,-4.468647674116255e-15,0,199.99999999999736,749.5838314199084,highs_pfba
b4213,,8,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199048,highs_pfba
b2835,,21,4,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,1.9593550662508902e-09,749.5838314199092,highs_pfba
b2836,,23,400,0.0992479883158474,0.0967855395454717,0.0024624487703757,0,0.427220327264503,749.4827797704137,highs_pfba
b3553,,10,8,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,1.0694028240859183e-06,749.5838314199077,highs_pfba
b1134,,2,8,0.0992479883158474,0.0992479883158474,0.0,0,1.069402824080852e-06,749.5838314199032,highs_pfba
b0446,,2,8,0.0992479883158474,0.0992479883158519,-4.468647674116255e-15,0,1.069402824086253e-06,749.5838314199083,highs_pfba
b1009,,1,4,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,1.9593550662508902e-09,749.5838314199092,highs_pfba
b0954,,13,4,0.0992479883158474,0.0992479883158496,-2.220446049250313e-15,0,1.067443469020528e-06,749.5838314199075,highs_pfba
b0180,,14,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388479115,677.3684210526317,highs_pfba
b0347,,2,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199025,highs_pfba
b3580,,2,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199042,highs_pfba
b1093,,14,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.3215638847921,677.3684210526314,highs_pfba
b2323,,13,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.3215638847878,677.3684210526319,highs_pfba
b1095,,9,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.3215638847917,677.3684210526314,highs_pfba
b1397,,2,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b1245,,2,4,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,1.959355065916713e-09,749.583831419909,highs_pfba
b1244,,2,4,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,1.959355065916713e-09,749.583831419909,highs_pfba
b1329,,1,0,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,0.0,749.5838314199092,highs_pfba
b1246,,2,4,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,1.959355065916713e-09,749.583831419909,highs_pfba
b1247,,2,4,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,1.959355065916713e-09,749.583831419909,highs_pfba
