gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,L1,solve_src
b0870,ltaE,5,108,0.3983895354016796,0.3983871463701811,2.3890314984620358e-06,0,1.9532045350779303e-05,738.4087371408489,highs_pfba
b2551,glyA,6,407,0.3983895354016796,0.3876146476187584,0.0107748877829211,0,5.780924737125584,742.2748016990948,highs_pfba
b3368,cysG,3,413,0.3983895354016796,-0.0,0.3983895354016796,1,3824.197602714796,398.2978723404256,highs_pfba
b2436,hemF,1,212,0.3983895354016796,0.3983808642389008,8.671162778806085e-06,0,0.1867409271820747,738.4110476148701,highs_pfba
b3500,gor,1,10,0.3983895354016796,0.3983895354016795,1.1102230246251563e-16,0,0.1722528860658745,738.4130785798711,highs_pfba
b0945,pyrD,2,13,0.3983895354016796,0.3983895354016804,-7.771561172376097e-16,0,0.0833181227859407,738.5448638462432,highs_pfba
b4467,glcF,3,14,0.3983895354016796,0.3983895354016795,5.551115123125783e-17,0,1.2342212613191557,738.4130785798884,highs_pfba
b2979,glcD,3,14,0.3983895354016796,0.3983895354016795,5.551115123125783e-17,0,1.2342212613191557,738.4130785798884,highs_pfba
b4468,glcE,3,14,0.3983895354016796,0.3983895354016795,5.551115123125783e-17,0,1.2342212613191557,738.4130785798884,highs_pfba
b3916,pfkA,3,410,0.3983895354016796,0.3928783931583307,0.0055111422433488,0,61.49768382106984,738.6980634727363,highs_pfba
b1260,trpA,3,413,0.3983895354016796,-0.0,0.3983895354016796,1,3824.197602714801,398.2978723404253,highs_pfba
b1261,trpB,3,413,0.3983895354016796,-0.0,0.3983895354016796,1,3824.197602714801,398.2978723404253,highs_pfba
b3426,glpD,1,0,0.3983895354016796,0.3983895354016795,5.551115123125783e-17,0,0.0,738.4130785798884,highs_pfba
b2243,glpC,3,16,0.3983895354016796,0.3983895354016796,-5.551115123125783e-17,0,1.5507356279173288,738.4130785798893,highs_pfba
b2242,glpB,3,16,0.3983895354016796,0.3983895354016796,-5.551115123125783e-17,0,1.5507356279173288,738.4130785798893,highs_pfba
b2241,glpA,3,16,0.3983895354016796,0.3983895354016796,-5.551115123125783e-17,0,1.5507356279173288,738.4130785798893,highs_pfba
b3770,ilvE,5,413,0.3983895354016796,-0.0,0.3983895354016796,1,3824.197602714796,398.29787234042544,highs_pfba
b4054,tyrB,4,413,0.3983895354016796,-0.0,0.3983895354016796,1,3824.197602714796,398.2978723404255,highs_pfba
b3281,aroE,1,413,0.3983895354016796,-0.0,0.3983895354016796,1,3824.197602714795,398.2978723404256,highs_pfba
b1692,ydiB,3,413,0.3983895354016796,-0.0,0.3983895354016796,1,3824.1976027147975,398.2978723404256,highs_pfba
b0243,proA,1,413,0.3983895354016796,-0.0,0.3983895354016796,1,3824.197602714801,398.2978723404253,highs_pfba
b1613,manA,1,10,0.3983895354016796,0.3983895354016796,-5.551115123125783e-17,0,0.0006691908109242,738.4130785798834,highs_pfba
b0414,ribD,2,413,0.3983895354016796,-0.0,0.3983895354016796,1,3824.197602714799,398.29787234042544,highs_pfba
b3041,ribB,1,413,0.3983895354016796,-0.0,0.3983895354016796,1,3824.1976027147975,398.2978723404255,highs_pfba
b0025,ribF,2,413,0.3983895354016796,-0.0,0.3983895354016796,1,3824.197602714804,398.2978723404251,highs_pfba
b0446,cof,4,12,0.3983895354016796,0.3983895354016796,0.0,0,0.187034195045027,738.413078579892,highs_pfba
b3812,yigB,2,413,0.3983895354016796,-0.0,0.3983895354016796,1,3824.197602714796,398.2978723404255,highs_pfba
b0844,ybjI,2,413,0.3983895354016796,-0.0,0.3983895354016796,1,3824.197602714796,398.2978723404255,highs_pfba
b1662,ribC,1,413,0.3983895354016796,-0.0,0.3983895354016796,1,3824.197602714795,398.2978723404256,highs_pfba
