gene_id,gene_name,n_gpr_rxns,b_wt,b_ko,delta_b,y_essential,kV,L1,solve_src
b1377,,270,0.6947359182109591,0.0,0.6947359182109591,1,18670.973550018243,0.0,infeasible
b2215,,271,0.6947359182109591,0.0,0.6947359182109591,1,18670.973550018243,0.0,infeasible
b0929,,271,0.6947359182109591,0.0,0.6947359182109591,1,18670.973550018243,0.0,infeasible
b0241,,270,0.6947359182109591,0.0,0.6947359182109591,1,18670.973550018243,0.0,infeasible
b4034,,6,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203918,ok
b4033,,6,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203918,ok
b4032,,6,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203918,ok
b4035,,6,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203918,ok
b4036,,7,0.6947359182109591,0.6947359182109634,-4.218847493575595e-15,0,0.0,747.0868199203999,ok
b4213,,8,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.086819920394,ok
b2835,,21,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,0.0,747.0868199204018,ok
b2836,,23,0.6947359182109591,0.6774987768183021,0.017237141392657,0,20.933792688111645,746.3794583548004,ok
b3553,,10,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,0.0,747.086819920398,ok
b1134,,2,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203929,ok
b0446,,2,0.6947359182109591,0.6947359182109634,-4.218847493575595e-15,0,0.0,747.0868199203973,ok
b1009,,1,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,0.0,747.0868199204012,ok
b0954,,13,0.6947359182109591,0.6947359182109613,-2.1094237467877974e-15,0,0.0,747.0868199203961,ok
b0180,,14,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311786,265.531915159149,ok
b0347,,2,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203933,ok
b3580,,2,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.086819920391,ok
b1093,,14,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311786,265.531915159149,ok
b2323,,13,0.6947359182109591,-0.0,0.6947359182109591,1,6862.83803431179,265.53191515914864,ok
b1095,,9,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311789,265.53191515914915,ok
b1397,,2,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203934,ok
b1245,,2,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,0.0,747.0868199204021,ok
b1244,,2,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,0.0,747.0868199204021,ok
b1329,,1,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,0.0,747.0868199203996,ok
b1246,,2,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,0.0,747.0868199204021,ok
b1247,,2,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,0.0,747.0868199204021,ok
b1386,,3,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203929,ok
b0004,,2,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311784,265.531915159149,ok
b1192,,4,0.6947359182109591,0.6947359182109615,-2.3314683517128287e-15,0,0.0,747.0868199203957,ok
b1243,,1,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.086819920396,ok
b4266,,1,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203933,ok
b4265,,3,0.6947359182109591,0.6947359182109635,-4.329869796038111e-15,0,0.0,747.0868199203989,ok
b0159,,3,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311796,265.53191515914887,ok
b3197,,1,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311786,265.5319151591489,ok
b2708,,1,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311786,265.5319151591489,ok
b1094,,26,0.6947359182109591,-0.0,0.6947359182109591,1,6862.83803431179,265.53191515914887,ok
b4481,,1,0.6947359182109591,0.6947359182109621,-2.997602166487923e-15,0,0.0,747.0868199203937,ok
b1927,,1,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203919,ok
b3571,,1,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203919,ok
b2901,,1,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203926,ok
b1302,,1,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,0.0,747.0868199203964,ok
b2662,,1,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,0.0,747.0868199203964,ok
b1444,,1,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,0.0,747.0868199203948,ok
b2663,,1,0.6947359182109591,0.6947359182109634,-4.218847493575595e-15,0,0.0,747.0868199203961,ok
b2222,,3,0.6947359182109591,0.6947359182109634,-4.218847493575595e-15,0,0.0,747.0868199204007,ok
b2221,,3,0.6947359182109591,0.6947359182109634,-4.218847493575595e-15,0,0.0,747.0868199204007,ok
b2224,,1,0.6947359182109591,0.677498776818302,0.0172371413926571,0,20.93379268811273,746.3794583547983,ok
b2342,,8,0.6947359182109591,0.6774987768182975,0.0172371413926616,0,20.933792688113584,746.3794583547983,ok
b3845,,8,0.6947359182109591,0.6774987768182975,0.0172371413926616,0,20.933792688113584,746.3794583547983,ok
b2223,,3,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,0.0,747.0868199203961,ok
b1241,,2,0.6947359182109591,0.6947359182109634,-4.218847493575595e-15,0,0.0,747.0868199203958,ok
b0351,,1,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,0.0,747.0868199203959,ok
s0001,,39,0.6947359182109591,0.0,0.6947359182109591,1,18670.973550018243,0.0,infeasible
b1463,,1,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203926,ok
b1993,,2,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203926,ok
b2316,,1,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311776,265.531915159149,ok
b3255,,1,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311776,265.531915159149,ok
b0185,,1,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311776,265.531915159149,ok
b3256,,1,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311776,265.531915159149,ok
b4069,,2,0.6947359182109591,0.6947359182109635,-4.329869796038111e-15,0,0.0,747.0868199203979,ok
b1119,,1,0.6947359182109591,0.694735918210962,-2.886579864025407e-15,0,0.0,747.0868199203956,ok
b3784,,1,0.6947359182109591,0.6947359182109621,-2.997602166487923e-15,0,0.0,747.0868199203953,ok
b2415,,18,0.6947359182109591,0.6699239211319988,0.0248119970789603,0,559.6922169969674,766.1266501619367,ok
b0679,,1,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203876,ok
b1101,,2,0.6947359182109591,0.6699239211319935,0.0248119970789656,0,423.2485697502948,758.1031884624629,ok
b2417,,6,0.6947359182109591,0.6699239211319935,0.0248119970789656,0,423.2485697502774,758.1031884624606,ok
b2416,,19,0.6947359182109591,0.6699239211319988,0.0248119970789603,0,559.692216996957,766.1266501619373,ok
