gene_id,gene_name,n_gpr_rxns,b_wt,b_ko,delta_b,y_essential,kV,L1,solve_src
b0870,ltaE,5,0.0796779070803362,0.079677429274037,4.778062992066845e-07,0,1.017114213277027e-07,747.6817415280348,ok
b2551,glyA,6,0.0796779070803362,0.0775229295237519,0.0021549775565842,0,0.2308069250166834,748.4549542457215,ok
b3368,cysG,3,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638908256,677.3684217300001,ok
b2436,hemF,1,0.0796779070803362,0.0796761728477793,1.7342325568381334e-06,0,8.123209712542913e-08,747.6822036227269,ok
b3500,gor,1,0.0796779070803362,0.0796779070803363,-1.52655665885959e-16,0,0.0,747.6826098158576,ok
b0945,pyrD,2,0.0796779070803362,0.0796779070803368,-5.967448757360216e-16,0,0.0020840827194288,747.7089668688309,ok
b4467,glcF,3,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158572,ok
b2979,glcD,3,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158572,ok
b4468,glcE,3,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158572,ok
b3916,pfkA,3,0.0796779070803362,0.0785756786316661,0.00110222844867,0,2.011079954654119,747.7396067514389,ok
b1260,trpA,3,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638907748,677.3684217299995,ok
b1261,trpB,3,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638907748,677.3684217299995,ok
b3426,glpD,1,0.0796779070803362,0.0796779070803364,-1.8041124150158799e-16,0,0.0,747.6826098158602,ok
b2243,glpC,3,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158582,ok
b2242,glpB,3,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158582,ok
b2241,glpA,3,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158582,ok
b3770,ilvE,5,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389084967,677.3684217299998,ok
b4054,tyrB,4,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389083364,677.3684217299997,ok
b3281,aroE,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638907801,677.3684217299995,ok
b1692,ydiB,3,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389081783,677.368421729999,ok
b0243,proA,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638908156,677.3684217299996,ok
b1613,manA,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158581,ok
b0414,ribD,2,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638908276,677.3684217299997,ok
b3041,ribB,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638909622,677.3684217299997,ok
b0025,ribF,2,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389083864,677.3684217299997,ok
b0446,cof,4,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158531,ok
b3812,yigB,2,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638908264,677.3684217299999,ok
b0844,ybjI,2,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638908264,677.3684217299999,ok
b1662,ribC,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638908454,677.3684217299997,ok
b0421,ispA,2,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638908482,677.3684217299997,ok
b3804,hemD,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389082403,677.3684217299999,ok
b3997,hemE,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638908056,677.3684217300001,ok
b4382,deoA,2,0.0796779070803362,0.0796779070803361,4.163336342344337e-17,0,0.0,747.6826098158581,ok
b0126,|can|,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638908643,677.3684217299995,ok
b0339,cynT,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638908643,677.3684217299995,ok
b4006,purH,2,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638908099,677.3684217299993,ok
