gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,solve_src
b1377,,270,424,0.0992479883158715,0.0,0.0992479883158715,1,26792.52950120165,
b2215,,271,424,0.0992479883158715,0.0,0.0992479883158715,1,26792.52950120165,
b0929,,271,424,0.0992479883158715,0.0,0.0992479883158715,1,26792.52950120165,
b0241,,270,424,0.0992479883158715,0.0,0.0992479883158715,1,26792.52950120165,
b4034,,6,2,0.0992479883158715,0.0992479883158535,1.7985612998927536e-14,0,200.0000000000038,
b4033,,6,4,0.0992479883158715,0.0992479883158709,6.245004513516507e-16,0,1.9593550719702573e-09,
b4032,,6,4,0.0992479883158715,0.0992479883158709,6.245004513516507e-16,0,1.9593550719702573e-09,
b4035,,6,4,0.0992479883158715,0.0992479883158709,6.245004513516507e-16,0,1.9593550719702573e-09,
b4036,,7,6,0.0992479883158715,0.0992479883158721,-6.38378239159465e-16,0,200.0000000019644,
b4213,,8,0,0.0992479883158715,0.0992479883158464,2.5063284780912912e-14,0,0.0,
b2835,,21,0,0.0992479883158715,0.0992479883158591,1.242062008799394e-14,0,0.0,
b2836,,23,402,0.0992479883158715,0.0967855395454659,0.0024624487704056,0,0.4272229597839845,
b3553,,10,0,0.0992479883158715,0.0992479883158479,2.3647750424515834e-14,0,0.0,
b1134,,2,0,0.0992479883158715,0.0992479883158592,1.2267964422107981e-14,0,0.0,
b0446,,2,0,0.0992479883158715,0.0992479883159715,-9.994782779187973e-14,0,0.0,
b1009,,1,4,0.0992479883158715,0.0992479883158377,3.3834046675451646e-14,0,1.959355040540588e-09,
b0954,,13,0,0.0992479883158715,0.0992479883158524,1.912359159916832e-14,0,0.0,
b0180,,14,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388489153,
b0347,,2,4,0.0992479883158715,0.0992479883158564,1.5085155347094314e-14,0,1.95935505567075e-09,
b3580,,2,0,0.0992479883158715,0.0992479883158504,2.1108115255685792e-14,0,0.0,
b1093,,14,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388489767,
b2323,,13,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388489835,
b1095,,9,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388488073,
b1397,,2,4,0.0992479883158715,0.0992479883158481,2.3370194668359542e-14,0,1.959355058924463e-09,
b1245,,2,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b1244,,2,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b1329,,1,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b1246,,2,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b1247,,2,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b1386,,3,0,0.0992479883158715,0.0992479883157956,7.585598815751382e-14,0,0.0,
b0004,,2,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848847,
b1192,,4,4,0.0992479883158715,0.0992479883158578,1.3655743202889424e-14,0,1.959355039052509e-09,
b1243,,1,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b4266,,1,0,0.0992479883158715,0.0992479883158516,1.988686992859812e-14,0,0.0,
b4265,,3,4,0.0992479883158715,0.0992479883157678,1.0370870828779745e-13,0,1.9593549413380717e-09,
b0159,,3,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848937,
b3197,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.321563884906,
b2708,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638849504,
b1094,,26,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388489886,
b4481,,1,4,0.0992479883158715,0.0992479883158309,4.0648040489088544e-14,0,1.9593550243400007e-09,
