gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
b1377,,270,424,0.2977439649475629,0.0,0.2977439649475629,1,22766.626851731133
b2215,,271,424,0.2977439649475629,0.0,0.2977439649475629,1,22766.626851731133
b0929,,271,424,0.2977439649475629,0.0,0.2977439649475629,1,22766.626851731133
b0241,,270,424,0.2977439649475629,0.0,0.2977439649475629,1,22766.626851731133
b4034,,6,2,0.2977439649475629,0.2977439649475392,2.3703261575747092e-14,0,200.0000000000004
b4033,,6,0,0.2977439649475629,0.2977439649475458,1.709743457922741e-14,0,0.0
b4032,,6,0,0.2977439649475629,0.2977439649475458,1.709743457922741e-14,0,0.0
b4035,,6,0,0.2977439649475629,0.2977439649475458,1.709743457922741e-14,0,0.0
b4036,,7,6,0.2977439649475629,0.29774396494755334,9.547918011776346e-15,0,200.0000000176366
b4213,,8,0,0.2977439649475629,0.2977439649475488,1.4099832412739488e-14,0,0.0
b2835,,21,4,0.2977439649475629,0.29774396494753474,2.8144153674247718e-14,0,1.7634195446150137e-08
b2836,,23,445,0.2977439649475629,0.2903566186364127,0.007387346311150178,0,3.84500663820968
b3553,,10,0,0.2977439649475629,0.2977439649475565,6.38378239159465e-15,0,0.0
b1134,,2,4,0.2977439649475629,0.2977439649475546,8.271161533457416e-15,0,1.7634195562034955e-08
b0446,,2,0,0.2977439649475629,0.2977439649475467,1.6209256159527285e-14,0,0.0
b1009,,1,0,0.2977439649475629,0.29774396494755123,1.1657341758564144e-14,0,0.0
b0954,,13,0,0.2977439649475629,0.2977439649475282,3.469446951953614e-14,0,0.0
b0180,,14,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.894074963574
b0347,,2,8,0.2977439649475629,0.2977439649475464,1.6486811915683575e-14,0,9.624625416700213e-06
b3580,,2,0,0.2977439649475629,0.2977439649475435,1.9373391779708982e-14,0,0.0
b1093,,14,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.894074963546
b2323,,13,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.8940749635703
b1095,,9,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.894074963528
b1397,,2,4,0.2977439649475629,0.2977439649475618,1.1102230246251565e-15,0,1.7634195525377893e-08
b1245,,2,0,0.2977439649475629,0.2977439649475629,0.0,0,0.0
b1244,,2,0,0.2977439649475629,0.2977439649475629,0.0,0,0.0
b1329,,1,0,0.2977439649475629,0.2977439649475629,0.0,0,0.0
b1246,,2,0,0.2977439649475629,0.2977439649475629,0.0,0,0.0
b1247,,2,0,0.2977439649475629,0.2977439649475629,0.0,0,0.0
b1386,,3,0,0.2977439649475629,0.2977439649475453,1.759703494030873e-14,0,0.0
b0004,,2,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.8940749635835
b1192,,4,0,0.2977439649475629,0.297743964947554,8.881784197001252e-15,0,0.0
b1243,,1,0,0.2977439649475629,0.2977439649475629,0.0,0,0.0
b4266,,1,0,0.2977439649475629,0.29774396494754474,1.815214645262131e-14,0,0.0
b4265,,3,0,0.2977439649475629,0.29774396494755856,4.3298697960381105e-15,0,0.0
b0159,,3,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.894074963605
b3197,,1,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.8940749635944
b2708,,1,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.8940749635676
b1094,,26,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.8940749635744
b4481,,1,4,0.2977439649475629,0.2977439649475515,1.1379786002407855e-14,0,1.7634195508852777e-08
b1927,,1,0,0.2977439649475629,0.2977439649475565,6.38378239159465e-15,0,0.0
b3571,,1,0,0.2977439649475629,0.29774396494757105,-8.1601392309949e-15,0,0.0
b2901,,1,0,0.2977439649475629,0.2977439649475504,1.2490009027033011e-14,0,0.0
b1302,,1,0,0.2977439649475629,0.29774396494755917,3.7192471324942744e-15,0,0.0
b2662,,1,0,0.2977439649475629,0.29774396494755917,3.7192471324942744e-15,0,0.0
b1444,,1,0,0.2977439649475629,0.29774396494756056,2.3314683517128287e-15,0,0.0
b2663,,1,0,0.2977439649475629,0.2977439649475634,-4.996003610813204e-16,0,0.0
b2222,,3,0,0.2977439649475629,0.297743964947547,1.587618925213974e-14,0,0.0
b2221,,3,0,0.2977439649475629,0.297743964947547,1.587618925213974e-14,0,0.0
b2224,,1,444,0.2977439649475629,0.2903566186364214,0.007387346311141463,0,3.844982945530188
b2342,,8,445,0.2977439649475629,0.29035661863642,0.007387346311142906,0,3.8450066382142114
b3845,,8,445,0.2977439649475629,0.29035661863642,0.007387346311142906,0,3.8450066382142114
b2223,,3,0,0.2977439649475629,0.297743964947565,-2.1094237467877974e-15,0,0.0
b1241,,2,0,0.2977439649475629,0.2977439649475503,1.2601031329495527e-14,0,0.0
b0351,,1,0,0.2977439649475629,0.297743964947552,1.0880185641326534e-14,0,0.0
s0001,,39,424,0.2977439649475629,0.0,0.2977439649475629,1,22766.626851731133
b1463,,1,4,0.2977439649475629,0.2977439649475541,8.770761894538737e-15,0,1.7634195441176075e-08
b1993,,2,0,0.2977439649475629,0.29774396494753913,2.375877272697835e-14,0,0.0
b2316,,1,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.8940749636013
b3255,,1,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.894074963575
b0185,,1,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.894074963578
b3256,,1,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.8940749635626
b4069,,2,4,0.2977439649475629,0.2977439649475566,6.2727600891321345e-15,0,1.763419561189757e-08
b1119,,1,4,0.2977439649475629,0.29774396494756095,1.942890293094024e-15,0,1.7634195516095517e-08
b3784,,1,4,0.2977439649475629,0.29774396494755767,5.218048215738236e-15,0,1.7634195505510398e-08
b2415,,18,419,0.2977439649475629,0.2729319678685836,0.024811997078979298,0,978.1687209217959
b0679,,1,0,0.2977439649475629,0.29774396494757366,-1.0769163338864018e-14,0,0.0
b1101,,2,420,0.2977439649475629,0.2729319678685893,0.02481199707897358,0,536.5902899094438
b2417,,6,420,0.2977439649475629,0.27293196786856927,0.02481199707899362,0,536.590289909296
b2416,,19,420,0.2977439649475629,0.2729319678685962,0.024811997078966697,0,978.1687402348178
b3959,,1,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.89407496357
b2818,,1,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.8940749635476
b0078,,2,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.8940749635203
b3670,,2,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.8940749635804
b3671,,2,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.894074963511
b0077,,2,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.8940749635585
b3115,,2,431,0.2977439649475629,0.14766413480335594,0.15007983014420695,0,1846.2475072980835
b1849,,2,428,0.2977439649475629,0.1476641348033463,0.15007983014421658,0,1846.3483977051105
b2296,,1,435,0.2977439649475629,0.14766413480334703,0.15007983014421586,0,1845.9423850559526
b2428,,1,4,0.2977439649475629,0.2977439649475477,1.5210055437364645e-14,0,1.763419546172733e-08
b3794,,1,0,0.2977439649475629,0.29774396494756855,-5.662137425588298e-15,0,0.0
b1818,,5,420,0.2977439649475629,0.2729319678685881,0.0248119970789748,0,536.5902899095099
b1819,,5,420,0.2977439649475629,0.2729319678685881,0.0248119970789748,0,536.5902899095099
b1817,,5,420,0.2977439649475629,0.2729319678685881,0.0248119970789748,0,536.5902899095099
b2429,,2,0,0.2977439649475629,0.297743964947549,1.3877787807814457e-14,0,0.0
b3224,,1,0,0.2977439649475629,0.2977439649475789,-1.5987211554602254e-14,0,0.0
b4311,,1,4,0.2977439649475629,0.29774396494755906,3.83026943495679e-15,0,1.763419552313837e-08
b3225,,1,0,0.2977439649475629,0.2977439649475789,-1.5987211554602254e-14,0,0.0
b0221,,8,444,0.2977439649475629,0.29035661863641465,0.007387346311148235,0,3.8449829455285753
b1091,,3,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.8940749635904
b3957,,2,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.894074963541
b3200,,9,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.894074963506
b4261,,9,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.8940749634944
b3201,,9,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.8940749635685
b4262,,9,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.894074963552
b3199,,9,421,0.2977439649475629,0.0,0.2977439649475629,1,2567.894074963582
