gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,solve_src
b0870,5,116,0.3983895354016732,0.3983871463701865,2.3890314866936717e-06,0,201.5514225593972,pfba
b2551,6,411,0.3983895354016732,0.3876146476187619,0.0107748877829112,0,206.1249876250761,pfba
b3368,3,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.261432499101,pfba
b2436,1,219,0.3983895354016732,0.3983808642389142,8.671162758988604e-06,0,201.5498226695209,pfba
b3500,1,14,0.3983895354016732,0.3983895354016791,-5.939693181744588e-15,0,200.1870341950449,pfba
b0945,2,17,0.3983895354016732,0.3983895354016876,-1.4377388168895777e-14,0,200.2391362643379,pfba
b4467,3,14,0.3983895354016732,0.3983895354016837,-1.0547118733938987e-14,0,200.1870341950449,pfba
b2979,3,14,0.3983895354016732,0.3983895354016837,-1.0547118733938987e-14,0,200.1870341950449,pfba
b4468,3,14,0.3983895354016732,0.3983895354016837,-1.0547118733938987e-14,0,200.1870341950449,pfba
b3916,3,413,0.3983895354016732,0.3928783931583287,0.0055111422433445,0,268.8191968830634,pfba
b1260,3,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.261432499132,pfba
b1261,3,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.2614324991137,pfba
b3426,1,18,0.3983895354016732,0.3983895354016805,-7.327471962526033e-15,0,201.55073562791765,pfba
b2243,3,12,0.3983895354016732,0.3983895354016896,-1.6431300764452317e-14,0,200.17225288606596,pfba
b2242,3,12,0.3983895354016732,0.3983895354016896,-1.6431300764452317e-14,0,200.17225288606596,pfba
b2241,3,12,0.3983895354016732,0.3983895354016896,-1.6431300764452317e-14,0,200.17225288606596,pfba
b3770,5,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.261432499132,pfba
b4054,4,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.261432499117,pfba
b3281,1,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.261432499092,pfba
b1692,3,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.26143249911,pfba
b0243,1,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.261432499103,pfba
b1613,1,16,0.3983895354016732,0.3983895354016764,-3.219646771412954e-15,0,201.2342212613192,pfba
b0414,2,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.261432499119,pfba
b3041,1,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.261432499105,pfba
b0025,2,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.261432499108,pfba
b0446,4,16,0.3983895354016732,0.3983895354016891,-1.5876189252139742e-14,0,201.50369390008265,pfba
b3812,2,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.261432498984,pfba
b0844,2,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.261432499143,pfba
b1662,1,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.2614324991337,pfba
b0421,2,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.261432499099,pfba
b3804,1,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.261432499171,pfba
b3997,1,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.261432499055,pfba
b4382,2,16,0.3983895354016732,0.3983895354016523,2.0872192862952943e-14,0,201.50369390008575,pfba
b0126,1,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.2614324991214,pfba
b0339,1,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.261432499137,pfba
b4006,2,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.261432499113,pfba
b2508,1,357,0.3983895354016732,0.3968513476751664,0.0015381877265068,0,201.69143387090256,pfba
b3846,19,445,0.3983895354016732,0.3915030231418353,0.0068865122598378,0,208.43568777584045,pfba
b2341,16,443,0.3983895354016732,0.39150302314182,0.0068865122598531,0,208.0500105326504,pfba
b2400,1,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.261432499103,pfba
b3993,1,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.2614324990855,pfba
b2066,4,16,0.3983895354016732,0.3983895354016856,-1.2434497875801752e-14,0,201.50369390008368,pfba
b0238,3,16,0.3983895354016732,0.3983895354016867,-1.3544720900426911e-14,0,200.3219859621773,pfba
b0125,2,16,0.3983895354016732,0.398389535401691,-1.7763568394002505e-14,0,200.32198596217788,pfba
b2518,8,6,0.3983895354016732,0.3983895354017031,-2.986499936241671e-14,0,200.0000171995587,pfba
b0474,13,90,0.3983895354016732,0.3983873991197177,2.1362819554449075e-06,0,205.46303651452,pfba
b1062,1,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.261432499111,pfba
b1281,1,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.2614324990927,pfba
