atpm_bound,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
40.0,b1377,,270,444,0.6947359182109677,0.0,0.6947359182109677,1,18683.57750991936
40.0,b2215,,271,444,0.6947359182109677,0.0,0.6947359182109677,1,18683.57750991936
40.0,b0929,,271,444,0.6947359182109677,0.0,0.6947359182109677,1,18683.57750991936
40.0,b0241,,270,444,0.6947359182109677,0.0,0.6947359182109677,1,18683.57750991936
40.0,b4034,,6,19,0.6947359182109677,0.6947359182109579,9.769962616701378e-15,0,9.19591273911226
40.0,b4033,,6,19,0.6947359182109677,0.6947359182109382,2.9531932455029164e-14,0,9.195912739112918
40.0,b4032,,6,19,0.6947359182109677,0.6947359182109382,2.9531932455029164e-14,0,9.195912739112918
40.0,b4035,,6,19,0.6947359182109677,0.6947359182109382,2.9531932455029164e-14,0,9.195912739112918
40.0,b4036,,7,21,0.6947359182109677,0.6947359182109382,2.9531932455029164e-14,0,209.1959127391129
40.0,b4213,,8,21,0.6947359182109677,0.6947359182109382,2.9531932455029164e-14,0,209.1959127391129
40.0,b2835,,21,21,0.6947359182109677,0.6947359182109382,2.9531932455029164e-14,0,209.1959127391129
40.0,b2836,,23,461,0.6947359182109677,0.6774987768182795,0.0172371413926881,0,229.65952576256203
40.0,b3553,,10,21,0.6947359182109677,0.6947359182109579,9.769962616701378e-15,0,209.19591273911223
40.0,b1134,,2,21,0.6947359182109677,0.6947359182109518,1.5876189252139742e-14,0,209.1959127391125
40.0,b0446,,2,21,0.6947359182109677,0.6947359182109518,1.5876189252139742e-14,0,209.1959127391125
40.0,b1009,,1,21,0.6947359182109677,0.6947359182109518,1.5876189252139742e-14,0,209.1959127391125
40.0,b0954,,13,21,0.6947359182109677,0.6947359182109518,1.5876189252139742e-14,0,209.1959127391125
40.0,b0180,,14,440,0.6947359182109677,3.986791149816723e-17,0.6947359182109677,1,8289.749074323812
40.0,b0347,,2,21,0.6947359182109677,0.694735918210962,5.6621374255882976e-15,0,209.1959127391121
40.0,b3580,,2,21,0.6947359182109677,0.6947359182109725,-4.773959005888173e-15,0,209.1959127391117
40.0,b1093,,14,440,0.6947359182109677,-4.165245398964173e-16,0.6947359182109681,1,8289.749074324074
40.0,b2323,,13,440,0.6947359182109677,-3.069285347733728e-29,0.6947359182109677,1,8289.749074323905
40.0,b1095,,9,440,0.6947359182109677,0.0,0.6947359182109677,1,8289.749074323992
40.0,b1397,,2,21,0.6947359182109677,0.6947359182109566,1.1102230246251564e-14,0,209.19591273911223
40.0,b1245,,2,21,0.6947359182109677,0.6947359182109505,1.7208456881689926e-14,0,209.1959127391126
40.0,b1244,,2,21,0.6947359182109677,0.6947359182109505,1.7208456881689926e-14,0,209.1959127391126
40.0,b1329,,1,21,0.6947359182109677,0.6947359182109505,1.7208456881689926e-14,0,209.1959127391126
40.0,b1246,,2,21,0.6947359182109677,0.6947359182109505,1.7208456881689926e-14,0,209.1959127391126
40.0,b1247,,2,21,0.6947359182109677,0.6947359182109505,1.7208456881689926e-14,0,209.1959127391126
40.0,b1386,,3,21,0.6947359182109677,0.6947359182109505,1.7208456881689926e-14,0,209.1959127391126
40.0,b0004,,2,440,0.6947359182109677,1.861857282676017e-15,0.6947359182109658,1,8289.749074323596
40.0,b1192,,4,21,0.6947359182109677,0.69473591821097,-2.3314683517128287e-15,0,209.1959127391117
40.0,b1243,,1,21,0.6947359182109677,0.6947359182109505,1.7208456881689926e-14,0,209.1959127391126
40.0,b4266,,1,21,0.6947359182109677,0.6947359182109505,1.7208456881689926e-14,0,209.1959127391126
40.0,b4265,,3,21,0.6947359182109677,0.6947359182109505,1.7208456881689926e-14,0,209.1959127391126
40.0,b0159,,3,440,0.6947359182109677,1.9908152934547362e-15,0.6947359182109657,1,8289.749074323561
40.0,b3197,,1,440,0.6947359182109677,0.0,0.6947359182109677,1,8289.749074323974
40.0,b2708,,1,440,0.6947359182109677,0.0,0.6947359182109677,1,8289.749074323996
40.0,b1094,,26,440,0.6947359182109677,0.0,0.6947359182109677,1,8289.749074323996
40.0,b4481,,1,21,0.6947359182109677,0.6947359182109496,1.809663530139005e-14,0,209.1959127391125
40.0,b1927,,1,21,0.6947359182109677,0.6947359182109505,1.7208456881689926e-14,0,209.1959127391126
40.0,b3571,,1,21,0.6947359182109677,0.6947359182109505,1.7208456881689926e-14,0,209.1959127391126
40.0,b2901,,1,21,0.6947359182109677,0.6947359182109505,1.7208456881689926e-14,0,209.1959127391126
40.0,b1302,,1,21,0.6947359182109677,0.6947359182109505,1.7208456881689926e-14,0,209.1959127391126
40.0,b2662,,1,21,0.6947359182109677,0.6947359182109505,1.7208456881689926e-14,0,209.1959127391126
40.0,b1444,,1,21,0.6947359182109677,0.6947359182109505,1.7208456881689926e-14,0,209.1959127391126
40.0,b2663,,1,21,0.6947359182109677,0.6947359182109505,1.7208456881689926e-14,0,209.1959127391126
40.0,b2222,,3,21,0.6947359182109677,0.6947359182109505,1.7208456881689926e-14,0,209.1959127391126
40.0,b2221,,3,21,0.6947359182109677,0.6947359182109505,1.7208456881689926e-14,0,209.1959127391126
40.0,b2224,,1,461,0.6947359182109677,0.6774987768182901,0.0172371413926776,0,229.6595257625628
40.0,b2342,,8,461,0.6947359182109677,0.6774987768182787,0.0172371413926889,0,229.65952576256143
40.0,b3845,,8,461,0.6947359182109677,0.6774987768182787,0.0172371413926889,0,229.65952576256143
40.0,b2223,,3,21,0.6947359182109677,0.6947359182109393,2.8421709430404014e-14,0,209.1959127391129
40.0,b1241,,2,21,0.6947359182109677,0.6947359182109664,1.3322676295501878e-15,0,209.1959127391119
40.0,b0351,,1,21,0.6947359182109677,0.6947359182109664,1.3322676295501878e-15,0,209.1959127391119
40.0,s0001,,39,444,0.6947359182109677,0.0,0.6947359182109677,1,18683.57750991936
40.0,b1463,,1,18,0.6947359182109677,0.6947359182109573,1.0436096431476471e-14,0,202.93423554982115
40.0,b1993,,2,18,0.6947359182109677,0.6947359182109607,6.994405055138486e-15,0,202.9342355498212
40.0,b2316,,1,440,0.6947359182109677,0.0,0.6947359182109677,1,8289.749074324094
40.0,b3255,,1,440,0.6947359182109677,0.0,0.6947359182109677,1,8289.749074324023
40.0,b0185,,1,440,0.6947359182109677,0.0,0.6947359182109677,1,8289.749074324023
40.0,b3256,,1,440,0.6947359182109677,0.0,0.6947359182109677,1,8289.749074324023
40.0,b4069,,2,71,0.6947359182109677,0.6947359182110115,-4.385380947269368e-14,0,200.796293354882
40.0,b1119,,1,71,0.6947359182109677,0.6947359182109443,2.3425705819590803e-14,0,200.79629335488207
40.0,b3784,,1,71,0.6947359182109677,0.6947359182109443,2.3425705819590803e-14,0,200.79629335488207
40.0,b2415,,18,428,0.6947359182109677,0.6699239211319807,0.0248119970789869,0,760.1679043762757
40.0,b0679,,1,72,0.6947359182109677,0.6947359182109689,-1.2212453270876722e-15,0,269.656441268391
40.0,b1101,,2,428,0.6947359182109677,0.669923921132006,0.0248119970789616,0,760.1679043762854
40.0,b2417,,6,428,0.6947359182109677,0.6699239211320055,0.0248119970789622,0,760.167904376285
40.0,b2416,,19,428,0.6947359182109677,0.6699239211320055,0.0248119970789622,0,760.167904376285
40.0,b3959,,1,444,0.6947359182109677,-5.436523247350735e-16,0.6947359182109683,1,8580.929888523482
40.0,b2818,,1,444,0.6947359182109677,0.0,0.6947359182109677,1,8580.929888523573
40.0,b0078,,2,444,0.6947359182109677,0.0,0.6947359182109677,1,8580.929888523573
40.0,b3670,,2,444,0.6947359182109677,0.0,0.6947359182109677,1,8580.929888523326
40.0,b3671,,2,444,0.6947359182109677,0.0,0.6947359182109677,1,8580.929888523326
40.0,b0077,,2,444,0.6947359182109677,0.0,0.6947359182109677,1,8580.929888523326
40.0,b3115,,2,435,0.6947359182109677,0.6510125079087262,0.0437234103022414,0,432.7309369108834
40.0,b1849,,2,435,0.6947359182109677,0.6510125079087447,0.043723410302223,0,432.7309369108881
40.0,b2296,,1,435,0.6947359182109677,0.6510125079087447,0.043723410302223,0,432.7309369108881
40.0,b2428,,1,72,0.6947359182109677,0.6947359182109671,5.551115123125786e-16,0,269.6564412683909
40.0,b3794,,1,72,0.6947359182109677,0.6947359182109617,5.9952043329758445e-15,0,269.6564412683904
40.0,b1818,,5,428,0.6947359182109677,0.6699239211319997,0.0248119970789679,0,760.1679043762829
40.0,b1819,,5,428,0.6947359182109677,0.6699239211319984,0.0248119970789693,0,760.1679043762822
40.0,b1817,,5,428,0.6947359182109677,0.6699239211319984,0.0248119970789693,0,760.1679043762822
40.0,b2429,,2,72,0.6947359182109677,0.6947359182109615,6.217248937900877e-15,0,269.6564412683903
