gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
b1377,,270,438,0.9823718127269575,0.0,0.9823718127269575,1,16116.43569571625
b2215,,271,438,0.9823718127269575,0.0,0.9823718127269575,1,16116.43569571625
b0929,,271,438,0.9823718127269575,0.0,0.9823718127269575,1,16116.43569571625
b0241,,270,438,0.9823718127269575,0.0,0.9823718127269575,1,16116.43569571625
b4034,,6,10,0.9823718127269575,0.982371812726983,-2.55351295663786e-14,0,207.32531974901138
b4033,,6,10,0.9823718127269575,0.9823718127269886,-3.108624468950438e-14,0,207.32531974901136
b4032,,6,10,0.9823718127269575,0.9823718127269886,-3.108624468950438e-14,0,207.32531974901136
b4035,,6,10,0.9823718127269575,0.9823718127269886,-3.108624468950438e-14,0,207.32531974901136
b4036,,7,8,0.9823718127269575,0.9823718127269886,-3.108624468950438e-14,0,7.325319749011384
b4213,,8,8,0.9823718127269575,0.9823718127269886,-3.108624468950438e-14,0,7.325319749011384
b2835,,21,8,0.9823718127269575,0.9823718127269886,-3.108624468950438e-14,0,7.325319749011384
b2836,,23,453,0.9823718127269575,0.9720365831108414,0.010335229616116104,0,55.53622363049324
b3553,,10,8,0.9823718127269575,0.9823718127269799,-2.2426505097428162e-14,0,7.325319749011354
b1134,,2,8,0.9823718127269575,0.9823718127269803,-2.275957200481571e-14,0,7.325319749011333
b0446,,2,8,0.9823718127269575,0.9823718127269803,-2.275957200481571e-14,0,7.325319749011333
b1009,,1,8,0.9823718127269575,0.9823718127269803,-2.275957200481571e-14,0,7.325319749011333
b0954,,13,8,0.9823718127269575,0.9823718127269803,-2.275957200481571e-14,0,7.325319749011333
b0180,,14,442,0.9823718127269575,1.0993846592890865e-15,0.9823718127269564,1,6427.156981768971
b0347,,2,8,0.9823718127269575,0.9823718127269795,-2.19824158875781e-14,0,7.325319749011395
b3580,,2,8,0.9823718127269575,0.9823718127269898,-3.2307490016592055e-14,0,7.325319749011427
b1093,,14,449,0.9823718127269575,-4.845435633478782e-16,0.982371812726958,1,4542.121666821642
b2323,,13,449,0.9823718127269575,-3.317309166909023e-16,0.9823718127269578,1,4542.12166682164
b1095,,9,449,0.9823718127269575,0.0,0.9823718127269575,1,4542.121666821657
b1397,,2,8,0.9823718127269575,0.982371812726979,-2.1538326677728037e-14,0,7.325319749011211
b1245,,2,8,0.9823718127269575,0.9823718127269742,-1.6653345369377348e-14,0,7.325319749011313
b1244,,2,8,0.9823718127269575,0.9823718127269742,-1.6653345369377348e-14,0,7.325319749011313
b1329,,1,8,0.9823718127269575,0.9823718127269742,-1.6653345369377348e-14,0,7.325319749011313
b1246,,2,8,0.9823718127269575,0.9823718127269742,-1.6653345369377348e-14,0,7.325319749011313
b1247,,2,8,0.9823718127269575,0.9823718127269742,-1.6653345369377348e-14,0,7.325319749011313
b1386,,3,8,0.9823718127269575,0.9823718127269742,-1.6653345369377348e-14,0,7.325319749011313
b0004,,2,442,0.9823718127269575,1.3734935574713578e-15,0.9823718127269562,1,6427.156981769007
b1192,,4,8,0.9823718127269575,0.9823718127269772,-1.965094753586527e-14,0,7.3253197490113084
b1243,,1,8,0.9823718127269575,0.9823718127269812,-2.3647750424515834e-14,0,7.325319749011375
b4266,,1,8,0.9823718127269575,0.9823718127269812,-2.3647750424515834e-14,0,7.325319749011375
b4265,,3,8,0.9823718127269575,0.9823718127269812,-2.3647750424515834e-14,0,7.325319749011375
b0159,,3,436,0.9823718127269575,1.15565959917787e-15,0.9823718127269564,1,6060.355243842299
b3197,,1,448,0.9823718127269575,9.84917258097253e-15,0.9823718127269476,1,2294.7648846843026
b2708,,1,448,0.9823718127269575,0.0,0.9823718127269575,1,2294.7648846843485
b1094,,26,448,0.9823718127269575,0.0,0.9823718127269575,1,2294.7648846843485
b4481,,1,8,0.9823718127269575,0.9823718127269752,-1.765254609153999e-14,0,7.325319749011354
b1927,,1,8,0.9823718127269575,0.9823718127269755,-1.7985612998927536e-14,0,7.325319749011334
b3571,,1,8,0.9823718127269575,0.9823718127269755,-1.7985612998927536e-14,0,7.325319749011334
b2901,,1,8,0.9823718127269575,0.9823718127269755,-1.7985612998927536e-14,0,7.325319749011334
b1302,,1,8,0.9823718127269575,0.9823718127269755,-1.7985612998927536e-14,0,7.325319749011334
b2662,,1,8,0.9823718127269575,0.9823718127269755,-1.7985612998927536e-14,0,7.325319749011334
b1444,,1,8,0.9823718127269575,0.9823718127269755,-1.7985612998927536e-14,0,7.325319749011334
b2663,,1,8,0.9823718127269575,0.9823718127269755,-1.7985612998927536e-14,0,7.325319749011334
b2222,,3,8,0.9823718127269575,0.9823718127269755,-1.7985612998927536e-14,0,7.325319749011334
b2221,,3,8,0.9823718127269575,0.9823718127269755,-1.7985612998927536e-14,0,7.325319749011334
b2224,,1,453,0.9823718127269575,0.9720365831108279,0.010335229616129649,0,55.5362236304923
b2342,,8,453,0.9823718127269575,0.9720365831108331,0.01033522961612443,0,55.53622363049132
b3845,,8,453,0.9823718127269575,0.9720365831108331,0.01033522961612443,0,55.53622363049132
b2223,,3,8,0.9823718127269575,0.9823718127269887,-3.11972669919669e-14,0,7.325319749011379
b1241,,2,8,0.9823718127269575,0.9823718127269568,6.661338147750939e-16,0,7.325319749011216
b0351,,1,8,0.9823718127269575,0.9823718127269568,6.661338147750939e-16,0,7.325319749011216
s0001,,39,441,0.9823718127269575,-3.4989724584142323e-15,0.9823718127269611,1,15534.004211474386
b1463,,1,4,0.9823718127269575,0.9823718127269861,-2.864375403532904e-14,0,1.9196475663799805e-07
b1993,,2,4,0.9823718127269575,0.9823718127269776,-2.0095036745715333e-14,0,1.919647566707296e-07
b2316,,1,448,0.9823718127269575,-1.0868281842647202e-15,0.9823718127269586,1,4471.82823455367
b3255,,1,448,0.9823718127269575,0.0,0.9823718127269575,1,4471.8282345537
b0185,,1,448,0.9823718127269575,0.0,0.9823718127269575,1,4471.8282345537
b3256,,1,448,0.9823718127269575,0.0,0.9823718127269575,1,4471.8282345537
b4069,,2,12,0.9823718127269575,0.9823718127269989,-4.141131881851834e-14,0,2.620275661432798
b1119,,1,12,0.9823718127269575,0.9823718127269864,-2.886579864025407e-14,0,2.6202756614340372
b3784,,1,12,0.9823718127269575,0.9823718127269864,-2.886579864025407e-14,0,2.6202756614340372
b2415,,18,418,0.9823718127269575,0.9720026781193548,0.010369134607602692,0,434.2625694412876
b0679,,1,12,0.9823718127269575,0.9823718127269897,-3.219646771412954e-14,0,2.620275661434161
b1101,,2,418,0.9823718127269575,0.9720026781193571,0.010369134607600361,0,434.2625694412876
b2417,,6,418,0.9823718127269575,0.9720026781193601,0.010369134607597363,0,434.2625694412885
b2416,,19,418,0.9823718127269575,0.9720026781193601,0.010369134607597363,0,434.2625694412885
b3959,,1,443,0.9823718127269575,3.9571471317105687e-16,0.9823718127269571,1,6761.729723799755
b2818,,1,443,0.9823718127269575,0.0,0.9823718127269575,1,6761.729723799782
b0078,,2,443,0.9823718127269575,-2.8394447779584037e-15,0.9823718127269604,1,6761.729723799804
b3670,,2,443,0.9823718127269575,0.0,0.9823718127269575,1,6761.729723799782
b3671,,2,443,0.9823718127269575,0.0,0.9823718127269575,1,6761.729723799782
b0077,,2,443,0.9823718127269575,0.0,0.9823718127269575,1,6761.729723799782
b3115,,2,4,0.9823718127269575,0.9823718127269788,-2.1316282072803006e-14,0,1.9196475666139093e-07
b1849,,2,7,0.9823718127269575,0.982371812726982,-2.453592884421596e-14,0,1.7612766430363094e-05
b2296,,1,7,0.9823718127269575,0.9823718127269748,-1.7319479184152442e-14,0,1.7612766430533768e-05
b2428,,1,7,0.9823718127269575,0.9823718127269748,-1.7319479184152442e-14,0,1.7612766430533768e-05
b3794,,1,7,0.9823718127269575,0.9823718127269748,-1.7319479184152442e-14,0,1.7612766430533768e-05
b1818,,5,416,0.9823718127269575,0.9720026781193442,0.01036913460761335,0,603.6849756733004
b1819,,5,416,0.9823718127269575,0.9720026781193424,0.010369134607615127,0,603.6849756733
b1817,,5,416,0.9823718127269575,0.9720026781193424,0.010369134607615127,0,603.6849756733
b2429,,2,7,0.9823718127269575,0.9823718127269739,-1.6431300764452317e-14,0,1.7612766430581283e-05
b3224,,1,7,0.9823718127269575,0.9823718127269748,-1.7319479184152442e-14,0,1.7612766430533768e-05
b4311,,1,7,0.9823718127269575,0.9823718127269748,-1.7319479184152442e-14,0,1.7612766430533768e-05
b3225,,1,7,0.9823718127269575,0.9823718127269748,-1.7319479184152442e-14,0,1.7612766430533768e-05
b0221,,8,451,0.9823718127269575,0.9720365831108274,0.010335229616130093,0,41.444660945664445
b1091,,3,486,0.9823718127269575,-4.525453894013642e-16,0.982371812726958,1,5457.359978526321
b3957,,2,486,0.9823718127269575,0.0,0.9823718127269575,1,5457.359978527025
b3200,,9,451,0.9823718127269575,-3.8685152166850486e-30,0.9823718127269575,1,4429.102430026585
b4261,,9,451,0.9823718127269575,0.0,0.9823718127269575,1,4429.102430027073
b3201,,9,451,0.9823718127269575,0.0,0.9823718127269575,1,4429.102430027073
b4262,,9,451,0.9823718127269575,0.0,0.9823718127269575,1,4429.102430027073
b3199,,9,451,0.9823718127269575,0.0,0.9823718127269575,1,4429.102430027073
b1519,,1,7,0.9823718127269575,0.9823718127269745,-1.6986412276764895e-14,0,1.7612766430229137e-05
b1276,,2,436,0.9823718127269575,-2.3389147472644374e-15,0.9823718127269598,1,6060.355243842241
b0118,,3,436,0.9823718127269575,0.0,0.9823718127269575,1,6060.355243842234
b1748,,2,436,0.9823718127269575,0.0,0.9823718127269575,1,6060.355243842234
b3359,,2,436,0.9823718127269575,0.0,0.9823718127269575,1,6060.355243842274
b1090,,7,7,0.9823718127269575,0.9823718127269826,-2.5091040356528538e-14,0,1.7612766430356995e-05
b3475,,1,7,0.9823718127269575,0.9823718127269802,-2.2648549702353193e-14,0,1.7612766430402857e-05
b2563,,1,7,0.9823718127269575,0.9823718127269802,-2.2648549702353193e-14,0,1.7612766430402857e-05
b2578,,2,7,0.9823718127269575,0.9823718127269802,-2.2648549702353193e-14,0,1.7612766430402857e-05
b1533,,2,7,0.9823718127269575,0.9823718127269802,-2.2648549702353193e-14,0,1.7612766430402857e-05
b4067,,2,7,0.9823718127269575,0.9823718127269802,-2.2648549702353193e-14,0,1.7612766430402857e-05
b1623,,2,7,0.9823718127269575,0.9823718127269802,-2.2648549702353193e-14,0,1.7612766430402857e-05
b1096,,1,436,0.9823718127269575,-1.6244993518279647e-16,0.9823718127269576,1,6060.355243842179
b1812,,2,436,0.9823718127269575,0.0,0.9823718127269575,1,6060.355243842239
b3360,,1,436,0.9823718127269575,0.0,0.9823718127269575,1,6060.355243842239
b3665,,1,7,0.9823718127269575,0.9823718127269729,-1.5432100042289676e-14,0,1.7612766430644106e-05
b3654,,3,7,0.9823718127269575,0.9823718127269752,-1.765254609153999e-14,0,1.7612766430534984e-05
b3714,,1,7,0.9823718127269575,0.9823718127269752,-1.765254609153999e-14,0,1.7612766430534984e-05
b0474,,13,442,0.9823718127269575,-1.7424712253592894e-14,0.9823718127269749,1,4228.213787698372
b0120,,1,10,0.9823718127269575,0.9823718127269887,-3.11972669919669e-14,0,2.814571443515055e-06
b3806,,1,10,0.9823718127269575,0.9823718127269764,-1.887379141862766e-14,0,2.8145714437032525e-06
b0030,,5,10,0.9823718127269575,0.9823718127269764,-1.887379141862766e-14,0,2.8145714437032525e-06
b2393,,7,10,0.9823718127269575,0.9823718127269764,-1.887379141862766e-14,0,2.8145714437032525e-06
b2964,,11,10,0.9823718127269575,0.9823718127269764,-1.887379141862766e-14,0,2.8145714437032525e-06
