gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,gene_id_str,bnum,keio_call,gene_name_keio,COG_id,PEC,MG_Tn5,Score
b0870,5,188,0.8217979336265955,0.8217930055324251,4.928094170408848e-06,0,1.0102841482806693e-05,b0870,b0870,N,ltaE,COG2008,,,
b2551,6,407,0.8217979336265955,0.7995714951080024,0.022226438518593072,0,25.16431862643482,b2551,b2551,N,glyA,COG0112,,,
b3368,3,428,0.8217979336265955,-7.437220053545196e-16,0.8217979336265963,1,15132.409681796951,b3368,b3368,N,cysG,COG0007,,,
b2436,1,248,0.8217979336265955,0.8217800467520061,1.7886874589367885e-05,0,8.270389588848199e-06,b2436,b2436,N,hemF,COG0408,,,
b3500,1,0,0.8217979336265955,0.8217979336265867,8.770761894538737e-15,0,0.0,b3500,b3500,N,gor,COG1249,,,
b0945,2,3,0.8217979336265955,0.821797933626588,7.438494264988549e-15,0,0.22170179919592892,b0945,b0945,N,pyrD,COG0167,,,
b2979,3,3,0.8217979336265955,0.8217979336265872,8.326672684688674e-15,0,0.22170179919593164,b2979,b2979,N,glcD,COG0277,,,
b3916,3,406,0.8217979336265955,0.8104295494070071,0.011368384219588412,0,332.36384604733223,b3916,b3916,N,pfkA,COG0205,,,
b1260,3,428,0.8217979336265955,-4.883785893212886e-16,0.8217979336265959,1,15132.409681795387,b1260,b1260,N,trpA,COG0159,,,
b1261,3,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796613,b1261,b1261,N,trpB,COG0133,,,
b3426,1,12,0.8217979336265955,0.8217979336265718,2.3647750424515834e-14,0,7.745841857630133,b3426,b3426,N,glpD,COG0578,,,
b2243,3,12,0.8217979336265955,0.8217979336265906,4.884981308350689e-15,0,7.74584185763176,b2243,b2243,N,glpC,COG0247,,,
b2242,3,12,0.8217979336265955,0.8217979336265906,4.884981308350689e-15,0,7.74584185763176,b2242,b2242,N,glpB,COG3075,,,
b2241,3,12,0.8217979336265955,0.8217979336265906,4.884981308350689e-15,0,7.74584185763176,b2241,b2241,N,glpA,COG0578,,,
b4054,4,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796817,b4054,b4054,N,tyrB,COG1448,,,
b3281,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796817,b3281,b3281,N,aroE,COG0169,,,
b1692,3,428,0.8217979336265955,5.094253921053211e-30,0.8217979336265955,1,15132.409681796724,b1692,b1692,N,ydiB,COG0169,,,
b0243,1,428,0.8217979336265955,5.094253921053211e-30,0.8217979336265955,1,15132.409681796724,b0243,b0243,N,proA,COG0014,,,
b0414,2,428,0.8217979336265955,7.34285031467941e-16,0.8217979336265947,1,15132.40968179666,b0414,b0414,E,ribD,COG0117,N,u,1
b3041,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681797026,b3041,b3041,E,ribB,COG0108,E,u,3
b0025,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796971,b0025,b0025,E,ribF,COG0196,,,
b0446,4,12,0.8217979336265955,0.8217979336265915,3.9968028886505635e-15,0,7.745841857631821,b0446,b0446,N,cof,COG0561,,,
b3812,2,428,0.8217979336265955,-2.1090651233031957e-16,0.8217979336265957,1,15132.40968179653,b3812,b3812,N,yigB,COG1011,,,
b1662,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681797248,b1662,b1662,E,ribC,COG0307,N,u,1
b0421,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.4096817971,b0421,b0421,E,ispA,COG0142,E,u,3
b3804,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796365,b3804,b3804,E,hemD,COG1587,u,u,2
b3997,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796755,b3997,b3997,N,hemE,COG0407,,,
b4382,2,12,0.8217979336265955,0.821797933626582,1.3433698597964394e-14,0,7.745841857630952,b4382,b4382,N,deoA,COG0213,,,
b0126,1,428,0.8217979336265955,1.431947113354459e-13,0.8217979336264523,1,15132.409681791887,b0126,b0126,E,can,COG0288,E,u,3
b0339,1,428,0.8217979336265955,-5.787539034573099e-14,0.8217979336266533,1,15132.409681798481,b0339,b0339,N,cynT,COG0288,,,
b4006,2,428,0.8217979336265955,-4.727848788806193e-14,0.8217979336266428,1,15132.409681798115,b4006,b4006,N,purH,COG0138,,,
b2508,1,376,0.8217979336265955,0.8186249599843637,0.003172973642231791,0,8.284650109523259,b2508,b2508,N,guaB,COG0516,,,
b3846,19,443,0.8217979336265955,0.8075924361369247,0.014205497489670815,0,38.90661787802407,b3846,b3846,N,fadB,COG1024,,,
b2341,16,443,0.8217979336265955,0.8075924361369349,0.014205497489660601,0,38.906617878026516,b2341,b2341,N,yfcX,COG1024,,,
b2400,1,428,0.8217979336265955,-4.851799183758968e-17,0.8217979336265955,1,15132.409681796693,b2400,b2400,E,gltX,COG0008,E,u,3
b3993,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.40968179698,b3993,b3993,N,thiE,COG0352,,,
