gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,gene_id_str
b0870,5,188,0.8217979336265955,0.8217930055324251,4.928094170408848e-06,0,1.0102841482806693e-05,b0870
b2551,6,407,0.8217979336265955,0.7995714951080024,0.022226438518593072,0,25.16431862643482,b2551
b3368,3,428,0.8217979336265955,-7.437220053545196e-16,0.8217979336265963,1,15132.409681796951,b3368
b2436,1,248,0.8217979336265955,0.8217800467520061,1.7886874589367885e-05,0,8.270389588848199e-06,b2436
b3500,1,0,0.8217979336265955,0.8217979336265867,8.770761894538737e-15,0,0.0,b3500
b0945,2,3,0.8217979336265955,0.821797933626588,7.438494264988549e-15,0,0.22170179919592892,b0945
b4467,3,3,0.8217979336265955,0.8217979336265872,8.326672684688674e-15,0,0.22170179919593164,b4467
b2979,3,3,0.8217979336265955,0.8217979336265872,8.326672684688674e-15,0,0.22170179919593164,b2979
b4468,3,3,0.8217979336265955,0.8217979336265872,8.326672684688674e-15,0,0.22170179919593164,b4468
b3916,3,406,0.8217979336265955,0.8104295494070071,0.011368384219588412,0,332.36384604733223,b3916
b1260,3,428,0.8217979336265955,-4.883785893212886e-16,0.8217979336265959,1,15132.409681795387,b1260
b1261,3,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796613,b1261
b3426,1,12,0.8217979336265955,0.8217979336265718,2.3647750424515834e-14,0,7.745841857630133,b3426
b2243,3,12,0.8217979336265955,0.8217979336265906,4.884981308350689e-15,0,7.74584185763176,b2243
b2242,3,12,0.8217979336265955,0.8217979336265906,4.884981308350689e-15,0,7.74584185763176,b2242
b2241,3,12,0.8217979336265955,0.8217979336265906,4.884981308350689e-15,0,7.74584185763176,b2241
b3770,5,428,0.8217979336265955,1.5751004541482862e-15,0.8217979336265939,1,15132.409681796613,b3770
b4054,4,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796817,b4054
b3281,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796817,b3281
b1692,3,428,0.8217979336265955,5.094253921053211e-30,0.8217979336265955,1,15132.409681796724,b1692
b0243,1,428,0.8217979336265955,5.094253921053211e-30,0.8217979336265955,1,15132.409681796724,b0243
b1613,1,12,0.8217979336265955,0.8217979336265825,1.2989609388114332e-14,0,7.745841857631031,b1613
b0414,2,428,0.8217979336265955,7.34285031467941e-16,0.8217979336265947,1,15132.40968179666,b0414
b3041,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681797026,b3041
b0025,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796971,b0025
b0446,4,12,0.8217979336265955,0.8217979336265915,3.9968028886505635e-15,0,7.745841857631821,b0446
b3812,2,428,0.8217979336265955,-2.1090651233031957e-16,0.8217979336265957,1,15132.40968179653,b3812
b0844,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681797248,b0844
b1662,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681797248,b1662
b0421,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.4096817971,b0421
b3804,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796365,b3804
b3997,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796755,b3997
b4382,2,12,0.8217979336265955,0.821797933626582,1.3433698597964394e-14,0,7.745841857630952,b4382
b0126,1,428,0.8217979336265955,1.431947113354459e-13,0.8217979336264523,1,15132.409681791887,b0126
b0339,1,428,0.8217979336265955,-5.787539034573099e-14,0.8217979336266533,1,15132.409681798481,b0339
b4006,2,428,0.8217979336265955,-4.727848788806193e-14,0.8217979336266428,1,15132.409681798115,b4006
b2508,1,376,0.8217979336265955,0.8186249599843637,0.003172973642231791,0,8.284650109523259,b2508
b3846,19,443,0.8217979336265955,0.8075924361369247,0.014205497489670815,0,38.90661787802407,b3846
b2341,16,443,0.8217979336265955,0.8075924361369349,0.014205497489660601,0,38.906617878026516,b2341
b2400,1,428,0.8217979336265955,-4.851799183758968e-17,0.8217979336265955,1,15132.409681796693,b2400
b3993,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.40968179698,b3993
b2066,4,12,0.8217979336265955,0.8217979336266004,-4.884981308350689e-15,0,7.745841857632663,b2066
b0238,3,12,0.8217979336265955,0.8217979336265747,2.0761170560490427e-14,0,7.74584185763049,b0238
b0125,2,12,0.8217979336265955,0.8217979336265747,2.0761170560490427e-14,0,7.74584185763049,b0125
b2518,8,16,0.8217979336265955,0.8217979336265747,2.0761170560490427e-14,0,2.972341879961463,b2518
b0474,13,187,0.8217979336265955,0.8217935269041511,4.40672244439444e-06,0,12.629001363088262,b0474
b1062,1,428,0.8217979336265955,-6.341277221812311e-16,0.8217979336265961,1,15132.409681796764,b1062
b1281,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796375,b1281
b0720,1,428,0.8217979336265955,-3.3684274761313317e-15,0.8217979336265988,1,15132.409681796724,b0720
b1136,1,428,0.8217979336265955,1.7871298631800905e-30,0.8217979336265955,1,15132.409681796598,b1136
b0351,1,21,0.8217979336265955,0.8217979336265331,6.23945339839338e-14,0,12.626133694505912,b0351
b1241,3,21,0.8217979336265955,0.8217979336266196,-2.4091839634365897e-14,0,12.626133694509733,b1241
b4069,2,21,0.8217979336265955,0.8217979336266196,-2.4091839634365897e-14,0,12.626133694509733,b4069
b4226,1,428,0.8217979336265955,-8.25843870913108e-15,0.8217979336266037,1,15132.409681796818,b4226
b2502,2,428,0.8217979336265955,-3.370775887668458e-14,0.8217979336266292,1,15132.409681797479,b2502
b2744,14,428,0.8217979336265955,-3.370775887668458e-14,0.8217979336266292,1,15132.409681797479,b2744
b3403,1,38,0.8217979336265955,0.8217979336266041,-8.659739592076221e-15,0,12.619426074371207,b3403
b1479,1,38,0.8217979336265955,0.8217979336265887,6.772360450213455e-15,0,12.619426074372804,b1479
b1190,1,428,0.8217979336265955,3.1096202816651396e-15,0.8217979336265924,1,15132.409681796285,b1190
b4053,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796638,b4053
b2379,1,41,0.8217979336265955,0.8217979336265878,7.66053886991358e-15,0,13.3053318581407,b2379
b2290,1,41,0.8217979336265955,0.8217979336265906,4.884981308350689e-15,0,13.305331858140306,b2290
b3564,2,41,0.8217979336265955,0.8217979336265906,4.884981308350689e-15,0,13.305331858140306,b3564
b0063,3,41,0.8217979336265955,0.8217979336265906,4.884981308350689e-15,0,13.305331858140306,b0063
b3752,1,41,0.8217979336265955,0.8217979336265906,4.884981308350689e-15,0,13.305331858140306,b3752
b3926,1,41,0.8217979336265955,0.8217979336265906,4.884981308350689e-15,0,13.305331858140306,b3926
b4383,2,199,0.8217979336265955,0.8217935269041401,4.406722455385648e-06,0,6.591252223589443,b4383
b0928,4,428,0.8217979336265955,-2.3632074597900754e-14,0.8217979336266191,1,15132.409681797304,b0928
b3925,1,41,0.8217979336265955,0.821797933626592,3.4416913763379853e-15,0,6.588899124742932,b3925
b2930,1,41,0.8217979336265955,0.8217979336265975,-1.9984014443252818e-15,0,6.58889912474273,b2930
b4232,1,41,0.8217979336265955,0.8217979336265975,-1.9984014443252818e-15,0,6.58889912474273,b4232
b3697,6,41,0.8217979336265955,0.8217979336265975,-1.9984014443252818e-15,0,6.58889912474273,b3697
b3430,1,41,0.8217979336265955,0.8217979336265975,-1.9984014443252818e-15,0,6.58889912474273,b3430
b1676,1,41,0.8217979336265955,0.8217979336265975,-1.9984014443252818e-15,0,6.58889912474273,b1676
b1854,5,20,0.8217979336265955,0.8217979336265975,-1.9984014443252818e-15,0,11.369106722553864,b1854
b3197,1,428,0.8217979336265955,3.69822874417612e-16,0.8217979336265951,1,15132.409681796833,b3197
b2708,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796555,b2708
b0072,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796555,b0072
b0071,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796398,b0071
b3671,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796398,b3671
b3670,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796673,b3670
b0078,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796673,b0078
b0077,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796673,b0077
b0908,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796673,b0908
b1264,1,428,0.8217979336265955,-6.243197454584997e-30,0.8217979336265955,1,15132.409681796627,b1264
b1263,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681797018,b1263
b2599,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681797018,b2599
b2600,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681797071,b2600
b2329,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681797071,b2329
b1262,2,428,0.8217979336265955,5.094253921053212e-30,0.8217979336265955,1,15132.409681796724,b1262
b2779,1,426,0.8217979336265955,0.6654618649048746,0.1563360687217209,0,1932.2648524993513,b2779
b2097,1,20,0.8217979336265955,0.8217979336265938,1.6653345369377348e-15,0,188.86303091148596,b2097
b2925,2,408,0.8217979336265955,0.8104295494070173,0.011368384219578198,0,335.908299911763,b2925
b0963,1,20,0.8217979336265955,0.8217979336266062,-1.0769163338864018e-14,0,11.369106722554356,b0963
b1702,1,20,0.8217979336265955,0.8217979336265759,1.9539925233402755e-14,0,11.369106722552264,b1702
b4025,1,411,0.8217979336265955,0.8073695553031701,0.014428378323425362,0,425.4744774747352,b4025
b2926,1,440,0.8217979336265955,0.5758353074175259,0.2459626262090696,0,5260.498367145941,b2926
b1850,2,23,0.8217979336265955,0.8217979336269791,-3.835820550079916e-13,0,309.15361483622246,b1850
b0767,1,412,0.8217979336265955,0.8125879431636439,0.009209990462951567,0,464.5358771074674,b0767
b3386,1,412,0.8217979336265955,0.8157034226205732,0.006094511006022318,0,392.35158944059833,b3386
b2464,1,73,0.8217979336265955,0.8217979336266662,-7.072120666862247e-14,0,21.538367669260793,b2464
b0008,1,73,0.8217979336265955,0.821797933626614,-1.8540724511240114e-14,0,21.538367669259287,b0008
b2465,2,429,0.8217979336265955,3.9324748137295195e-14,0.8217979336265562,1,15051.477423818511,b2465
b2935,2,429,0.8217979336265955,1.932427691999964e-14,0.8217979336265762,1,15051.477423818338,b2935
b0678,1,73,0.8217979336265955,0.8217979336265793,1.6209256159527285e-14,0,21.538367669258275,b0678
b1478,2,73,0.8217979336265955,0.821797933626614,-1.8540724511240114e-14,0,21.538367669259287,b1478
b3011,3,73,0.8217979336265955,0.821797933626614,-1.8540724511240114e-14,0,21.538367669259287,b3011
b3003,1,73,0.8217979336265955,0.821797933626614,-1.8540724511240114e-14,0,21.538367669259287,b3003
b4269,2,73,0.8217979336265955,0.821797933626614,-1.8540724511240114e-14,0,21.538367669259287,b4269
b0493,1,73,0.8217979336265955,0.821797933626614,-1.8540724511240114e-14,0,21.538367669259287,b0493
b3588,2,73,0.8217979336265955,0.821797933626614,-1.8540724511240114e-14,0,21.538367669259287,b3588
b3903,2,73,0.8217979336265955,0.821797933626614,-1.8540724511240114e-14,0,21.538367669259287,b3903
b3996,1,73,0.8217979336265955,0.821797933626614,-1.8540724511240114e-14,0,21.538367669259287,b3996
b2411,1,73,0.8217979336265955,0.821797933626614,-1.8540724511240114e-14,0,21.538367669259287,b2411
b0639,2,429,0.8217979336265955,-3.286908337358012e-12,0.8217979336298824,1,15051.477423940883,b0639
b4390,1,23,0.8217979336265955,0.821797933626594,1.4432899320127035e-15,0,21.5419419732815,b4390
b2103,2,429,0.8217979336265955,2.531900294130011e-16,0.8217979336265953,1,15051.477423818644,b2103
b2418,4,23,0.8217979336265955,0.8217979336265799,1.554312234475219e-14,0,21.541941973280938,b2418
b3831,1,23,0.8217979336265955,0.8217979336265868,8.659739592076221e-15,0,21.541941973281258,b3831
b4384,7,186,0.8217979336265955,0.8217935269041362,4.406722459271428e-06,0,21.54466795950323,b4384
b3073,1,23,0.8217979336265955,0.821797933626641,-4.551914400963142e-14,0,21.541941973283095,b3073
