fe_bound,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,engine
-0.01,b1377,,270,451,0.6226262374694641,0.0,0.6226262374694641,1,11966.595468172494,
-0.01,b2215,,271,451,0.6226262374694641,0.0,0.6226262374694641,1,11966.595468172494,
-0.01,b0929,,271,451,0.6226262374694641,0.0,0.6226262374694641,1,11966.595468172494,
-0.01,b0241,,270,451,0.6226262374694641,0.0,0.6226262374694641,1,11966.595468172494,
-0.01,b4034,,6,113,0.6226262374694641,0.6226262374696746,-2.104982854689297e-13,0,2459.595290365137,
-0.01,b4033,,6,113,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2459.5952903732364,
-0.01,b4032,,6,113,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2459.5952903732364,
-0.01,b4035,,6,113,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2459.5952903732364,
-0.01,b4036,,7,116,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2147.263604576043,
-0.01,b4213,,8,116,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2147.2636045760687,
-0.01,b2835,,21,116,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2147.2636045760687,
-0.01,b2836,,23,197,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,3044.660276965459,
-0.01,b3553,,10,197,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,3044.6602769653737,
-0.01,b1134,,2,197,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,3044.6602769653737,
-0.01,b0446,,2,197,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,3044.6602769653737,
-0.01,b1009,,1,197,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,3044.6602769653737,
-0.01,b0954,,13,116,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,3142.560062240624,
-0.01,b0180,,14,503,0.6226262374694641,0.0,0.6226262374694641,1,5183.49408564943,
-0.01,b0347,,2,183,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,2380.424361653092,
-0.01,b3580,,2,183,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,2380.424361653128,
-0.01,b1093,,14,486,0.6226262374694641,0.0,0.6226262374694641,1,3095.7510761769213,
