gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,engine
b1377,,270,422,0.15565655936741177,0.0,0.15565655936741177,1,545.3442028591074,
b2215,,271,422,0.15565655936741177,0.0,0.15565655936741177,1,545.3442028591074,
b0929,,271,422,0.15565655936741177,0.0,0.15565655936741177,1,545.3442028591074,
b0241,,270,422,0.15565655936741177,0.0,0.15565655936741177,1,545.3442028591074,
b4034,,6,6,0.15565655936741177,0.15565655936740697,4.801714581503802e-15,0,5.913435550121469,
b4033,,6,4,0.15565655936741177,0.1556565593674118,-2.7755575615628914e-17,0,2.625646845025779e-06,
b4032,,6,4,0.15565655936741177,0.1556565593674118,-2.7755575615628914e-17,0,2.625646845025779e-06,
b4035,,6,4,0.15565655936741177,0.1556565593674118,-2.7755575615628914e-17,0,2.625646845025779e-06,
b4036,,7,10,0.15565655936741177,0.15565655936741177,0.0,0,5.9134355549411595,
b4213,,8,8,0.15565655936741177,0.1556565593674118,-2.7755575615628914e-17,0,2.6304663737239704e-06,
b2835,,21,4,0.15565655936741177,0.1556565593674116,1.6653345369377348e-16,0,2.6256468450257764e-06,
b2836,,23,130,0.15565655936741177,0.1556565593674115,2.7755575615628914e-16,0,1.202367359283469,
b3553,,10,4,0.15565655936741177,0.15565655936741157,1.942890293094024e-16,0,2.6256468450257755e-06,
b1134,,2,8,0.15565655936741177,0.15565655936741146,3.0531133177191805e-16,0,2.6304663737225428e-06,
b0446,,2,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b1009,,1,4,0.15565655936741177,0.15565655936741157,1.942890293094024e-16,0,2.6256468450257764e-06,
b0954,,13,8,0.15565655936741177,0.15565655936741174,2.7755575615628914e-17,0,2.630466373724878e-06,
b0180,,14,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296957,
b0347,,2,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b3580,,2,4,0.15565655936741177,0.15565655936740996,1.8041124150158794e-15,0,2.6256468450257484e-06,
b1093,,14,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329693,
b2323,,13,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329689,
b1095,,9,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329691,
b1397,,2,4,0.15565655936741177,0.15565655936741174,2.7755575615628914e-17,0,2.625646845025779e-06,
b1245,,2,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b1244,,2,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b1329,,1,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b1246,,2,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b1247,,2,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b1386,,3,4,0.15565655936741177,0.15565655936741146,3.0531133177191805e-16,0,2.6256468450257743e-06,
b0004,,2,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329693,
b1192,,4,0,0.15565655936741177,0.15565655936741177,0.0,0,0.0,
b1243,,1,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b4266,,1,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
