gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
b1377,,270,422,0.3113131187348235,0.0,0.3113131187348235,1,1813.7826018730025
b2215,,271,422,0.3113131187348235,0.0,0.3113131187348235,1,1813.7826018730025
b0929,,271,422,0.3113131187348235,0.0,0.3113131187348235,1,1813.7826018730025
b0241,,270,422,0.3113131187348235,0.0,0.3113131187348235,1,1813.7826018730025
b4034,,6,8,0.3113131187348235,0.3113131187348139,9.603429163007604e-15,0,1.052186549489834e-05
b4033,,6,10,0.3113131187348235,0.3113131187348236,-5.551115123125783e-17,0,21.88270928843076
b4032,,6,10,0.3113131187348235,0.3113131187348236,-5.551115123125783e-17,0,21.88270928843076
b4035,,6,10,0.3113131187348235,0.3113131187348236,-5.551115123125783e-17,0,21.88270928843076
b4036,,7,4,0.3113131187348235,0.3113131187348235,0.0,0,1.0502587380102048e-05
b4213,,8,6,0.3113131187348235,0.3113131187348236,-1.1102230246251563e-16,0,21.882709269152706
b2835,,21,10,0.3113131187348235,0.3113131187348232,3.3306690738754696e-16,0,21.88270928843062
b2836,,23,134,0.3113131187348235,0.3113131187348235,0.0,0,26.912159073799547
b3553,,10,10,0.3113131187348235,0.3113131187348235,0.0,0,21.88270928843066
b1134,,2,6,0.3113131187348235,0.3113131187348229,6.106226635438361e-16,0,21.88270926915247
b0446,,2,10,0.3113131187348235,0.3113131187348233,2.220446049250313e-16,0,21.88270928843053
b1009,,1,10,0.3113131187348235,0.3113131187348231,3.8857805861880484e-16,0,21.882709288430625
b0954,,13,6,0.3113131187348235,0.3113131187348232,2.7755575615628914e-16,0,21.882709269152784
b0180,,14,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120537
b0347,,2,10,0.3113131187348235,0.3113131187348235,0.0,0,21.88270928843061
b3580,,2,10,0.3113131187348235,0.3113131187348192,4.329869796038111e-15,0,21.88270928843036
b1093,,14,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120537
b2323,,13,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.294792312052
b1095,,9,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.294792312053
b1397,,2,10,0.3113131187348235,0.3113131187348235,5.551115123125783e-17,0,21.882709288430867
b1245,,2,10,0.3113131187348235,0.3113131187348238,-3.3306690738754696e-16,0,21.882709288430465
b1244,,2,10,0.3113131187348235,0.3113131187348238,-3.3306690738754696e-16,0,21.882709288430465
b1329,,1,10,0.3113131187348235,0.3113131187348238,-3.3306690738754696e-16,0,21.882709288430465
b1246,,2,10,0.3113131187348235,0.3113131187348238,-3.3306690738754696e-16,0,21.882709288430465
b1247,,2,10,0.3113131187348235,0.3113131187348238,-3.3306690738754696e-16,0,21.882709288430465
b1386,,3,10,0.3113131187348235,0.311313118734823,5.551115123125784e-16,0,21.88270928843073
b0004,,2,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.294792312053
b1192,,4,6,0.3113131187348235,0.3113131187348235,0.0,0,21.882698785843186
b1243,,1,10,0.3113131187348235,0.3113131187348238,-3.3306690738754696e-16,0,21.882709288430465
b4266,,1,10,0.3113131187348235,0.3113131187348238,-3.3306690738754696e-16,0,21.882709288430465
b4265,,3,10,0.3113131187348235,0.3113131187348231,3.8857805861880484e-16,0,21.882709288430668
b0159,,3,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120553
b3197,,1,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120537
b2708,,1,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.294792312054
b1094,,26,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.294792312049
b4481,,1,10,0.3113131187348235,0.3113131187348235,5.551115123125783e-17,0,21.88270928843074
b1927,,1,10,0.3113131187348235,0.3113131187348235,0.0,0,21.88270928843061
b3571,,1,10,0.3113131187348235,0.3113131187348237,-2.220446049250313e-16,0,21.882709288430533
b2901,,1,10,0.3113131187348235,0.3113131187348233,2.220446049250313e-16,0,21.88270928843076
b1302,,1,6,0.3113131187348235,0.3113131187348238,-3.3306690738754696e-16,0,21.882709269152663
b2662,,1,6,0.3113131187348235,0.3113131187348238,-3.3306690738754696e-16,0,21.882709269152663
b1444,,1,10,0.3113131187348235,0.311313118734823,5.551115123125784e-16,0,21.882709288430583
b2663,,1,10,0.3113131187348235,0.3113131187348226,9.43689570931383e-16,0,21.88270928843059
b2222,,3,6,0.3113131187348235,0.3113131187348239,-3.8857805861880484e-16,0,21.882709269152706
b2221,,3,6,0.3113131187348235,0.3113131187348239,-3.8857805861880484e-16,0,21.882709269152706
b2224,,1,131,0.3113131187348235,0.3113131187348235,0.0,0,26.91214994490456
b2342,,8,131,0.3113131187348235,0.3113131187348235,0.0,0,26.912149944904588
b3845,,8,131,0.3113131187348235,0.3113131187348235,0.0,0,26.912149944904588
b2223,,3,6,0.3113131187348235,0.3113131187348232,3.3306690738754696e-16,0,21.88270926915255
b1241,,2,6,0.3113131187348235,0.3113131187348235,0.0,0,21.88270926915248
b0351,,1,6,0.3113131187348235,0.3113131187348239,-3.8857805861880484e-16,0,21.882709269152677
s0001,,39,426,0.3113131187348235,0.0,0.3113131187348235,1,1713.1970502068907
b1463,,1,10,0.3113131187348235,0.3113131187348237,-2.220446049250313e-16,0,21.88270928843096
b1993,,2,10,0.3113131187348235,0.3113131187348236,-1.1102230246251563e-16,0,21.88270928843069
b2316,,1,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120528
b3255,,1,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120537
b0185,,1,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120546
b3256,,1,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120528
b4069,,2,6,0.3113131187348235,0.3113131187348235,5.551115123125783e-17,0,21.88269878584355
b1119,,1,10,0.3113131187348235,0.3113131187348248,-1.27675647831893e-15,0,21.88270928843074
b3784,,1,10,0.3113131187348235,0.3113131187348236,-5.551115123125783e-17,0,21.88270928843073
b2415,,18,66,0.3113131187348235,0.3113131187348232,2.7755575615628914e-16,0,75.47438252286224
b0679,,1,10,0.3113131187348235,0.3113131187348235,0.0,0,21.882709288430792
b1101,,2,70,0.3113131187348235,0.3113131187348236,-5.551115123125783e-17,0,78.50745151530437
b2417,,6,70,0.3113131187348235,0.3113131187348235,0.0,0,78.50745151530515
b2416,,19,66,0.3113131187348235,0.3113131187348232,3.3306690738754696e-16,0,75.47438252285954
b3959,,1,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120537
b2818,,1,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120537
b0078,,2,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120514
b3670,,2,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120537
b3671,,2,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120553
b0077,,2,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120548
b3115,,2,6,0.3113131187348235,0.3113131187348235,5.551115123125783e-17,0,21.882698785843544
b1849,,2,64,0.3113131187348235,0.3113131187348237,-2.220446049250313e-16,0,21.88274293943042
b2296,,1,10,0.3113131187348235,0.3113131187348237,-2.220446049250313e-16,0,21.88270928843055
b2428,,1,10,0.3113131187348235,0.3113131187348237,-2.220446049250313e-16,0,21.88270928843069
b3794,,1,10,0.3113131187348235,0.3113131187348235,0.0,0,21.882709288430902
b1818,,5,70,0.3113131187348235,0.3113131187348232,2.7755575615628914e-16,0,78.50745151530418
b1819,,5,70,0.3113131187348235,0.3113131187348232,2.7755575615628914e-16,0,78.50745151530418
b1817,,5,70,0.3113131187348235,0.3113131187348232,2.7755575615628914e-16,0,78.50745151530418
b2429,,2,10,0.3113131187348235,0.3113131187348235,0.0,0,21.882709288430505
b3224,,1,10,0.3113131187348235,0.3113131187348235,0.0,0,21.88270928843065
b4311,,1,6,0.3113131187348235,0.3113131187348235,0.0,0,21.88270926915252
b3225,,1,10,0.3113131187348235,0.3113131187348235,0.0,0,21.88270928843065
b0221,,8,131,0.3113131187348235,0.3113131187348235,0.0,0,26.91214994490447
b1091,,3,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.294792312052
b3957,,2,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120528
b3200,,9,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.294792312052
b4261,,9,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120507
b3201,,9,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120532
b4262,,9,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.294792312054
b3199,,9,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120537
b1519,,1,10,0.3113131187348235,0.3113131187348235,0.0,0,21.882709288430668
b1276,,2,424,0.3113131187348235,0.0,0.3113131187348235,1,1552.0938341903404
b0118,,3,424,0.3113131187348235,0.0,0.3113131187348235,1,1552.0938341903409
b1748,,2,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120526
b3359,,2,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120555
b1090,,7,10,0.3113131187348235,0.3113131187348234,1.1102230246251563e-16,0,21.882709288430696
b3475,,1,10,0.3113131187348235,0.3113131187348236,-1.1102230246251563e-16,0,21.88270928843041
b2563,,1,10,0.3113131187348235,0.3113131187348236,-1.1102230246251563e-16,0,21.88270928843041
b2578,,2,10,0.3113131187348235,0.3113131187348234,1.1102230246251563e-16,0,21.882709288430576
b1533,,2,10,0.3113131187348235,0.3113131187348234,1.1102230246251563e-16,0,21.882709288430576
b4067,,2,10,0.3113131187348235,0.3113131187348238,-3.3306690738754696e-16,0,21.882709288430465
b1623,,2,10,0.3113131187348235,0.3113131187348239,-3.8857805861880484e-16,0,21.88270928843074
b1096,,1,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120537
b1812,,2,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.294792312054
b3360,,1,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120548
b3665,,1,2,0.3113131187348235,0.3113131187348235,0.0,0,21.882698766565262
b3654,,3,6,0.3113131187348235,0.3113131187348233,2.220446049250313e-16,0,21.882709269152485
b3714,,1,6,0.3113131187348235,0.3113131187348233,2.220446049250313e-16,0,21.882709269152485
b0474,,13,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.294792312053
b0120,,1,6,0.3113131187348235,0.3113131187348235,0.0,0,21.88269878584343
b3806,,1,10,0.3113131187348235,0.3113131187348245,-9.43689570931383e-16,0,21.88270928843056
b0030,,5,10,0.3113131187348235,0.3113131187348235,5.551115123125783e-17,0,21.88270928843064
b2393,,7,10,0.3113131187348235,0.3113131187348235,0.0,0,21.88270928843062
b2964,,11,10,0.3113131187348235,0.3113131187348235,0.0,0,21.882709288430487
b2406,,6,6,0.3113131187348235,0.3113131187348235,0.0,0,21.88270926915233
b0411,,7,6,0.3113131187348235,0.3113131187348234,1.1102230246251563e-16,0,21.88270926915249
b1992,,1,10,0.3113131187348235,0.3113131187348231,3.8857805861880484e-16,0,21.882709288430668
b1709,,3,10,0.3113131187348235,0.3113131187348235,0.0,0,21.88270928843065
b0158,,3,10,0.3113131187348235,0.3113131187348235,0.0,0,21.88270928843065
b1711,,3,10,0.3113131187348235,0.3113131187348235,0.0,0,21.88270928843065
b3966,,3,10,0.3113131187348235,0.3113131187348235,0.0,0,21.88270928843065
b3005,,10,6,0.3113131187348235,0.3113131187348235,0.0,0,21.88270926915268
b3006,,10,6,0.3113131187348235,0.3113131187348235,0.0,0,21.88270926915268
b1252,,10,6,0.3113131187348235,0.3113131187348235,0.0,0,21.88270926915268
b3397,,1,10,0.3113131187348235,0.3113131187348248,-1.27675647831893e-15,0,21.882709288430902
b3034,,1,10,0.3113131187348235,0.3113131187348248,-1.27675647831893e-15,0,21.882709288430902
b0469,,1,10,0.3113131187348235,0.3113131187348238,-3.3306690738754696e-16,0,21.882709288430465
b2750,,1,423,0.3113131187348235,0.0,0.3113131187348235,1,1497.2947923120537
