gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
b0870,5,8,0.3113131187348236,0.3113131187348235,5.551115123125783e-17,0,28.73078946139125
b2551,6,70,0.3113131187348236,0.3113131187348248,-1.27675647831893e-15,0,34.56647836989996
b3368,3,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.068350200734
b2436,1,67,0.3113131187348236,0.3113131187348781,-5.451195050909519e-14,0,29.54437828771236
b3500,1,10,0.3113131187348236,0.3113131187348241,-5.551115123125784e-16,0,28.80952317814057
b0945,2,15,0.3113131187348236,0.3113131187348236,0.0,0,29.575624052995728
b4467,3,67,0.3113131187348236,0.3113131187348231,4.440892098500626e-16,0,28.730837704348527
b2979,3,67,0.3113131187348236,0.3113131187348231,4.440892098500626e-16,0,28.730837704348527
b4468,3,67,0.3113131187348236,0.3113131187348231,4.440892098500626e-16,0,28.730837704348527
b3916,3,58,0.3113131187348236,0.3113131187348236,0.0,0,71.89416128915825
b1260,3,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.0683502007355
b1261,3,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.0683502007246
b3426,1,12,0.3113131187348236,0.3113131187348236,-5.551115123125783e-17,0,29.5438089032093
b2243,3,10,0.3113131187348236,0.3113131187348236,0.0,0,28.80952317814039
b2242,3,10,0.3113131187348236,0.3113131187348236,0.0,0,28.80952317814039
b2241,3,10,0.3113131187348236,0.3113131187348236,0.0,0,28.80952317814039
b3770,5,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.0683502007364
b4054,4,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.0683502007378
b3281,1,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.0683502007378
b1692,3,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.06835020074
b0243,1,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.06835020075
b1613,1,12,0.3113131187348236,0.3113131187348197,3.83026943495679e-15,0,29.543808903209047
b0414,2,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.0683502007373
b3041,1,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.0683502007373
b0025,2,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.06835020074
b0446,4,18,0.3113131187348236,0.3113131187348236,0.0,0,29.515881033220413
b3812,2,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.0683502007364
b0844,2,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.0683502007373
b1662,1,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.068350200738
b0421,2,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.06835020074
b3804,1,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.068350200738
b3997,1,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.068350200738
b4382,2,14,0.3113131187348236,0.3113131187348232,3.3306690738754696e-16,0,29.515880008286363
b0126,1,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.0683502007364
b0339,1,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.0683502007355
b4006,2,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.0683502007355
b2508,1,62,0.3113131187348236,0.3113131187348238,-2.220446049250313e-16,0,29.47382395860982
b3846,19,127,0.3113131187348236,0.3113131187348235,5.551115123125783e-17,0,33.40549795690452
b2341,16,129,0.3113131187348236,0.3113131187348235,5.551115123125783e-17,0,33.4049630281695
b2400,1,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.0683502007373
b3993,1,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.0683502007328
b2066,4,12,0.3113131187348236,0.3113131187348237,-1.1102230246251563e-16,0,29.329950545687023
b0238,3,10,0.3113131187348236,0.3113131187348237,-1.1102230246251563e-16,0,28.72255978517379
b0125,2,14,0.3113131187348236,0.3113131187348237,-1.6653345369377348e-16,0,28.722560810108043
b2518,8,8,0.3113131187348236,0.3113131187348236,-5.551115123125783e-17,0,28.62601510137614
b0474,13,56,0.3113131187348236,0.3113131187348234,1.6653345369377348e-16,0,31.961997242924017
b1062,1,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.0683502007337
b1281,1,415,0.3113131187348236,0.0,0.3113131187348236,1,2297.068350200733
b0720,1,416,0.3113131187348236,0.0,0.3113131187348236,1,2473.67560418599
b1136,1,416,0.3113131187348236,0.0,0.3113131187348236,1,2473.675604185992
b0351,1,12,0.3113131187348236,0.3113131187348236,0.0,0,29.54380890320927
