rxn,v_plain,v_canon
DM_4crsol_c,3.4711412738932814e-05,3.471141251593281e-05
DM_5drib_c,3.502272580598823e-05,3.502272563266763e-05
DM_aacald_c,-0.0,-0.0
DM_amob_c,3.1131311873482346e-07,3.113131167348234e-07
DM_mththf_c,6.973413859660046e-05,6.973413814860045e-05
DM_oxam_c,-0.0,-0.0
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0
BIOMASS_Ec_iJO1366_core_53p95M,0.1556565593674117,0.1556565583674117
EX_12ppd__R_e,0.0,0.0
EX_12ppd__S_e,0.0,0.0
EX_14glucan_e,0.0,0.0
EX_15dap_e,-0.0,-0.0
EX_23camp_e,0.0,0.0
EX_23ccmp_e,0.0,0.0
EX_23cgmp_e,0.0,0.0
EX_23cump_e,0.0,0.0
EX_23dappa_e,-0.0,-0.0
EX_26dap__M_e,-0.0,-0.0
EX_2ddglcn_e,-0.0,0.0
EX_34dhpac_e,-0.0,-0.0
EX_3amp_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_3gmp_e,0.0,0.0
EX_3hcinnm_e,-0.0,-0.0
EX_3hpp_e,-0.0,-0.0
EX_3hpppn_e,-0.0,-0.0
EX_3ump_e,0.0,0.0
EX_4abut_e,0.0,0.0
EX_4hoxpacd_e,-0.0,-0.0
EX_5dglcn_e,0.0,0.0
EX_5mtr_e,-0.0,-0.0
EX_LalaDglu_e,-0.0,-0.0
EX_LalaDgluMdap_e,0.0,0.0
EX_LalaDgluMdapDala_e,0.0,0.0
EX_LalaLglu_e,-0.0,-0.0
EX_ac_e,0.0,0.09068177514745324
EX_acac_e,-0.0,-0.0
EX_acald_e,0.0,0.0
EX_acgal_e,-0.0,-0.0
EX_acgal1p_e,-0.0,0.0
EX_acgam_e,-0.0,0.0
EX_acgam1p_e,-0.0,0.0
EX_acmana_e,-0.0,-0.0
EX_acmum_e,-0.0,-0.0
EX_acnam_e,-0.0,-0.0
EX_acolipa_e,-0.0,-0.0
EX_acser_e,-0.0,-0.0
EX_ade_e,0.0,0.0
