gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
b1377,,270,443,1.2594539615018205,0.0,1.2594539615018205,1,18984.442967607316
b2215,,271,443,1.2594539615018205,0.0,1.2594539615018205,1,18984.442967607316
b0929,,271,443,1.2594539615018205,0.0,1.2594539615018205,1,18984.442967607316
b0241,,270,443,1.2594539615018205,0.0,1.2594539615018205,1,18984.442967607316
b4034,,6,4,1.2594539615018205,1.2594539615018354,-1.4876988529977098e-14,0,0.00017189611152129458
b4033,,6,6,1.2594539615018205,1.2594539615018254,-4.884981308350689e-15,0,200.0001718961115
b4032,,6,6,1.2594539615018205,1.2594539615018254,-4.884981308350689e-15,0,200.0001718961115
b4035,,6,6,1.2594539615018205,1.2594539615018254,-4.884981308350689e-15,0,200.0001718961115
b4036,,7,4,1.2594539615018205,1.2594539615018268,-6.217248937900877e-15,0,0.00017189611152129342
b4213,,8,6,1.2594539615018205,1.2594539615018063,1.4210854715202004e-14,0,200.0001718961115
b2835,,21,12,1.2594539615018205,1.2594539615018172,3.3306690738754696e-15,0,233.06620401128558
b2836,,23,454,1.2594539615018205,1.2300797640221646,0.029374197479655972,0,265.6773938380952
b3553,,10,12,1.2594539615018205,1.2594539615018516,-3.108624468950438e-14,0,233.0662040125277
b1134,,2,12,1.2594539615018205,1.259453961501793,2.7533531010703882e-14,0,233.06620400999984
b0446,,2,6,1.2594539615018205,1.2594539615018148,5.773159728050814e-15,0,200.0001718961115
b1009,,1,6,1.2594539615018205,1.2594539615018034,1.709743457922741e-14,0,200.0001718961115
b0954,,13,12,1.2594539615018205,1.2594539615017974,2.3092638912203256e-14,0,233.06620401013444
b0180,,14,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.103794835726
b0347,,2,6,1.2594539615018205,1.2594539615017928,2.7755575615628914e-14,0,200.0001718961115
b3580,,2,6,1.2594539615018205,1.2594539615018265,-5.995204332975845e-15,0,200.0001718961115
b1093,,14,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.103794835733
b2323,,13,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483573
b1095,,9,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483572
b1397,,2,12,1.2594539615018205,1.259453961502122,-3.015365734881925e-13,0,233.06620402374537
b1245,,2,6,1.2594539615018205,1.2594539615018303,-9.769962616701378e-15,0,200.0001718961115
b1244,,2,6,1.2594539615018205,1.2594539615018303,-9.769962616701378e-15,0,200.0001718961115
b1329,,1,6,1.2594539615018205,1.2594539615018303,-9.769962616701378e-15,0,200.0001718961115
b1246,,2,6,1.2594539615018205,1.2594539615018303,-9.769962616701378e-15,0,200.0001718961115
b1247,,2,6,1.2594539615018205,1.2594539615018303,-9.769962616701378e-15,0,200.0001718961115
b1386,,3,12,1.2594539615018205,1.2594539615017883,3.219646771412954e-14,0,233.0662040102441
b0004,,2,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483572
b1192,,4,12,1.2594539615018205,1.2594539615018288,-8.215650382226158e-15,0,233.06620401216875
b1243,,1,12,1.2594539615018205,1.2594539615018494,-2.886579864025407e-14,0,233.06620401323264
b4266,,1,6,1.2594539615018205,1.2594539615018179,2.6645352591003757e-15,0,200.0001718961115
b4265,,3,6,1.2594539615018205,1.259453961501777,4.3520742565306136e-14,0,200.0001718961115
b0159,,3,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.103794835715
b3197,,1,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.103794835723
b2708,,1,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483572
b1094,,26,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483572
b4481,,1,6,1.2594539615018205,1.2594539615018252,-4.6629367034256575e-15,0,200.0001718961115
b1927,,1,12,1.2594539615018205,1.259453961501811,9.547918011776346e-15,0,233.06620401123504
b3571,,1,12,1.2594539615018205,1.259453961501817,3.552713678800501e-15,0,233.0662040103774
b2901,,1,12,1.2594539615018205,1.2594539615018092,1.1324274851176597e-14,0,233.0662040105816
b1302,,1,6,1.2594539615018205,1.2594539615018157,4.884981308350689e-15,0,200.0001718961115
b2662,,1,6,1.2594539615018205,1.2594539615018157,4.884981308350689e-15,0,200.0001718961115
b1444,,1,12,1.2594539615018205,1.2594539615018245,-3.9968028886505635e-15,0,233.06620401228304
b2663,,1,12,1.2594539615018205,1.2594539615019074,-8.681944052568724e-14,0,233.0662040121056
b2222,,3,6,1.2594539615018205,1.2594539615018763,-5.573319583618286e-14,0,200.0001718961115
b2221,,3,6,1.2594539615018205,1.2594539615018763,-5.573319583618286e-14,0,200.0001718961115
b2224,,1,457,1.2594539615018205,1.2305084337483472,0.028945527753473366,0,258.17769201638134
b2342,,8,454,1.2594539615018205,1.230079764022165,0.02937419747965553,0,265.67739383805764
b3845,,8,454,1.2594539615018205,1.230079764022165,0.02937419747965553,0,265.67739383805764
b2223,,3,6,1.2594539615018205,1.259453961501807,1.354472090042691e-14,0,200.0001718961115
b1241,,2,12,1.2594539615018205,1.2594539615018496,-2.90878432451791e-14,0,233.06620401205808
b0351,,1,12,1.2594539615018205,1.259453961501853,-3.241851231905457e-14,0,233.06620401372393
s0001,,39,447,1.2594539615018205,0.0,1.2594539615018205,1,18520.113884247377
b1463,,1,12,1.2594539615018205,1.25945396150182,4.440892098500626e-16,0,233.06620401268205
b1993,,2,12,1.2594539615018205,1.2594539615017952,2.531308496145357e-14,0,233.0662040103328
b2316,,1,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483572
b3255,,1,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483572
b0185,,1,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483572
b3256,,1,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.103794835723
b4069,,2,6,1.2594539615018205,1.2594539615003821,1.4384049507043528e-12,0,200.0001718961115
b1119,,1,6,1.2594539615018205,1.2594539615018379,-1.7319479184152442e-14,0,200.0001718961115
b3784,,1,6,1.2594539615018205,1.2594539615018143,6.217248937900877e-15,0,200.0001718961115
b2415,,18,417,1.2594539615018205,1.2308235009084203,0.028630460593400242,0,964.0997346619454
b0679,,1,12,1.2594539615018205,1.2594539615018137,6.8833827526759706e-15,0,233.0662040104097
b1101,,2,417,1.2594539615018205,1.2308235009084527,0.028630460593367824,0,838.8292836956676
b2417,,6,417,1.2594539615018205,1.2308235009084594,0.028630460593361162,0,838.8292836965502
b2416,,19,417,1.2594539615018205,1.2308235009084647,0.028630460593355833,0,964.0997346637575
b3959,,1,6,1.2594539615018205,1.259453961501814,6.439293542825908e-15,0,200.0001718961115
b2818,,1,6,1.2594539615018205,1.2594539615018017,1.887379141862766e-14,0,200.0001718961115
b0078,,2,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.103794835723
b3670,,2,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.103794835723
b3671,,2,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483572
b0077,,2,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483572
b3115,,2,442,1.2594539615018205,1.1724929322129791,0.08696102928884142,0,6242.919705915582
b1849,,2,442,1.2594539615018205,1.1724929322129847,0.08696102928883587,0,6242.919705871574
b2296,,1,441,1.2594539615018205,1.172492932212964,0.08696102928885652,0,6242.923689043118
b2428,,1,6,1.2594539615018205,1.259453961501829,-8.43769498715119e-15,0,200.0001718961115
b3794,,1,6,1.2594539615018205,1.2594539615018232,-2.6645352591003757e-15,0,200.0001718961115
b1818,,5,417,1.2594539615018205,1.2308235009084234,0.028630460593397133,0,838.8292836931291
b1819,,5,417,1.2594539615018205,1.2308235009084234,0.028630460593397133,0,838.8292836931291
b1817,,5,417,1.2594539615018205,1.2308235009084234,0.028630460593397133,0,838.8292836931291
b2429,,2,12,1.2594539615018205,1.2594539615018105,9.992007221626409e-15,0,233.0662040104995
b3224,,1,12,1.2594539615018205,1.2594539615017852,3.530509218307998e-14,0,233.06620400857622
b4311,,1,6,1.2594539615018205,1.2594539615018192,1.3322676295501878e-15,0,200.0001718961115
b3225,,1,12,1.2594539615018205,1.2594539615018179,2.6645352591003757e-15,0,233.06620401110888
b0221,,8,454,1.2594539615018205,1.2300797640221715,0.02937419747964909,0,265.6773938382872
b1091,,3,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.103794835723
b3957,,2,2,1.2594539615018205,1.2594539615017843,3.6193270602780103e-14,0,200.0
b3200,,9,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483572
b4261,,9,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483572
b3201,,9,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483572
b4262,,9,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483572
b3199,,9,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483572
b1519,,1,6,1.2594539615018205,1.2594539615017901,3.042011087472929e-14,0,200.0001718961115
b1276,,2,422,1.2594539615018205,1.240651010467482,0.0188029510343386,0,2610.302657020143
b0118,,3,421,1.2594539615018205,1.2406510104674853,0.01880295103433527,0,2610.305705164298
b1748,,2,439,1.2594539615018205,1.1987561827532258,0.06069777874859472,0,6237.722761216342
b3359,,2,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483572
b1090,,7,12,1.2594539615018205,1.259453961501821,-4.440892098500626e-16,0,233.06620401190665
b3475,,1,6,1.2594539615018205,1.2594539615017992,2.1316282072803006e-14,0,200.0001718961115
b2563,,1,6,1.2594539615018205,1.2594539615017992,2.1316282072803006e-14,0,200.0001718961115
b2578,,2,6,1.2594539615018205,1.2594539615018105,9.992007221626409e-15,0,200.0001718961115
b1533,,2,6,1.2594539615018205,1.2594539615018105,9.992007221626409e-15,0,200.0001718961115
b4067,,2,12,1.2594539615018205,1.2594539615018494,-2.886579864025407e-14,0,233.06620401323264
b1623,,2,12,1.2594539615018205,1.2594539615018205,0.0,0,233.06620401059877
b1096,,1,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483572
b1812,,2,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.103794835723
b3360,,1,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.103794835723
b3665,,1,12,1.2594539615018205,1.2594539615017912,2.930988785010413e-14,0,233.06620400991056
b3654,,3,6,1.2594539615018205,1.2594539615018265,-5.995204332975845e-15,0,200.0001718961115
b3714,,1,6,1.2594539615018205,1.2594539615018265,-5.995204332975845e-15,0,200.0001718961115
b0474,,13,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483572
b0120,,1,12,1.2594539615018205,1.2594539615018028,1.7763568394002505e-14,0,233.06620401011477
b3806,,1,12,1.2594539615018205,1.2594539615018117,8.881784197001252e-15,0,233.066204011064
b0030,,5,6,1.2594539615018205,1.2594539615018412,-2.0650148258027912e-14,0,200.0001718961115
b2393,,7,6,1.2594539615018205,1.2594539615018303,-9.769962616701378e-15,0,200.0001718961115
b2964,,11,12,1.2594539615018205,1.2594539615018097,1.0880185641326534e-14,0,233.06620401143715
b2406,,6,6,1.2594539615018205,1.2594539615018154,5.10702591327572e-15,0,200.0001718961115
b0411,,7,6,1.2594539615018205,1.2594539615018117,8.881784197001252e-15,0,200.0001718961115
b1992,,1,12,1.2594539615018205,1.2594539615018245,-3.9968028886505635e-15,0,233.0662040116845
b1709,,3,6,1.2594539615018205,1.2594539615018159,4.6629367034256575e-15,0,200.0001718961115
b0158,,3,6,1.2594539615018205,1.2594539615018159,4.6629367034256575e-15,0,200.0001718961115
b1711,,3,6,1.2594539615018205,1.2594539615018159,4.6629367034256575e-15,0,200.0001718961115
b3966,,3,6,1.2594539615018205,1.2594539615017974,2.3092638912203256e-14,0,200.0001718961115
b3005,,10,6,1.2594539615018205,1.259453961501792,2.864375403532904e-14,0,200.0001718961115
b3006,,10,6,1.2594539615018205,1.259453961501792,2.864375403532904e-14,0,200.0001718961115
b1252,,10,6,1.2594539615018205,1.259453961501792,2.864375403532904e-14,0,200.0001718961115
b3397,,1,12,1.2594539615018205,1.2594539615018494,-2.886579864025407e-14,0,233.06620401323264
b3034,,1,12,1.2594539615018205,1.2594539615018494,-2.886579864025407e-14,0,233.06620401323264
b0469,,1,12,1.2594539615018205,1.2594539615018494,-2.886579864025407e-14,0,233.06620401323264
b2750,,1,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483572
b1131,,2,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483572
b4177,,1,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.103794835723
b0677,,1,6,1.2594539615018205,1.259453961501859,-3.8413716652030416e-14,0,200.0001718961115
b0110,,4,6,1.2594539615018205,1.2594539615018394,-1.887379141862766e-14,0,200.0001718961115
b2817,,2,6,1.2594539615018205,1.2594539615018179,2.6645352591003757e-15,0,200.0001718961115
b2435,,2,6,1.2594539615018205,1.2594539615018179,2.6645352591003757e-15,0,200.0001718961115
b4169,,2,6,1.2594539615018205,1.2594539615018179,2.6645352591003757e-15,0,200.0001718961115
b1107,,3,6,1.2594539615018205,1.2594539615017932,2.731148640577885e-14,0,200.0001718961115
b0433,,3,6,1.2594539615018205,1.2594539615018074,1.3100631690576847e-14,0,200.0001718961115
b3619,,1,12,1.2594539615018205,1.2594539615018299,-9.325873406851315e-15,0,233.0662040123278
b2937,,1,6,1.2594539615018205,1.259453961501853,-3.241851231905457e-14,0,200.0001718961115
b3018,,7,445,1.2594539615018205,0.0,1.2594539615018205,1,18069.10379483572
b3958,,1,12,1.2594539615018205,1.2594539615018185,1.9984014443252818e-15,0,233.0662040121586
b0575,,2,12,1.2594539615018205,1.2594539615017992,2.1316282072803006e-14,0,233.06620401110825
