gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
b0870,5,212,0.9497821637643239,0.949773436021466,8.727742857872478e-06,0,5.371022308116922
b2551,6,404,0.9497821637643239,0.9437784167400327,0.006003747024291184,0,319.90519446685965
b3368,3,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308646
b2436,1,249,0.9497821637643239,0.9497622753233901,1.9888440933812923e-05,0,6.777284975005441
b3500,1,10,0.9497821637643239,0.9497821637642806,4.3298697960381105e-14,0,75.53580290275414
b0945,2,13,0.9497821637643239,0.9497821637642937,3.019806626980426e-14,0,59.126511808220116
b4467,3,8,0.9497821637643239,0.9497821637643055,1.84297022087776e-14,0,40.26507369114299
b2979,3,8,0.9497821637643239,0.9497821637643055,1.84297022087776e-14,0,40.26507369114299
b4468,3,8,0.9497821637643239,0.9497821637643055,1.84297022087776e-14,0,40.26507369114299
b3916,3,368,0.9497821637643239,0.9472636039770453,0.0025185597872785515,0,121.62391397795604
b1260,3,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.616643086465
b1261,3,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308646
b3426,1,12,0.9497821637643239,0.9497821637642918,3.2085445411667024e-14,0,70.40961934259222
b2243,3,8,0.9497821637643239,0.9497821637642975,2.6423307986078726e-14,0,40.26507369119406
b2242,3,8,0.9497821637643239,0.9497821637642975,2.6423307986078726e-14,0,40.26507369119406
b2241,3,8,0.9497821637643239,0.9497821637642975,2.6423307986078726e-14,0,40.26507369119406
b3770,5,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308646
b4054,4,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308646
b3281,1,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308646
b1692,3,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.616643086465
b0243,1,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308647
b1613,1,8,0.9497821637643239,0.9497821637643024,2.1538326677728037e-14,0,6.7816696693959635
b0414,2,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308646
b3041,1,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.616643086465
b0025,2,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.616643086465
b0446,4,12,0.9497821637643239,0.949782163764318,5.88418203051333e-15,0,48.84003804733993
b3812,2,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308646
b0844,2,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308646
b1662,1,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.616643086465
b0421,2,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.616643086465
b3804,1,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.616643086465
b3997,1,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.616643086476
b4382,2,10,0.9497821637643239,0.9497821637643215,2.4424906541753444e-15,0,6.555888569716407
b0126,1,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.616643086487
b0339,1,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.616643086458
b4006,2,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308646
b2508,1,383,0.9497821637643239,0.9456462840283939,0.004135879735929993,0,71.03883600931302
b3846,19,440,0.9497821637643239,0.9361160507516729,0.013666113012650971,0,44.744575358919036
b2341,16,439,0.9497821637643239,0.9361160507516676,0.0136661130126563,0,42.107401810862974
b2400,1,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308646
b3993,1,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308646
b2066,4,12,0.9497821637643239,0.9497821637642966,2.731148640577885e-14,0,74.77282734326687
b0238,3,10,0.9497821637643239,0.9497821637642837,4.0190073491430667e-14,0,39.76576409950504
b0125,2,10,0.9497821637643239,0.9497821637642837,4.0190073491430667e-14,0,39.76576409950504
b2518,8,10,0.9497821637643239,0.9497821637643252,-1.3322676295501878e-15,0,39.76576410271894
b0474,13,193,0.9497821637643239,0.9497764168851768,5.746879147117134e-06,0,64.20993156690444
b1062,1,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308647
b1281,1,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.616643086465
b0720,1,10,0.9497821637643239,0.949782163764272,5.184741524999481e-14,0,75.5358029017913
b1136,1,403,0.9497821637643239,0.9382756755358267,0.011506488228497203,0,2108.4372088063606
b0351,1,8,0.9497821637643239,0.9497821637642989,2.4980018054066022e-14,0,53.51388840114073
b1241,3,8,0.9497821637643239,0.949782163764322,1.887379141862766e-15,0,40.2650736928512
b4069,2,10,0.9497821637643239,0.9497821637643696,-4.574118861455645e-14,0,75.5358029101015
b4226,1,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.616643086465
b2502,2,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.616643086465
b2744,14,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.616643086465
b3403,1,8,0.9497821637643239,0.9497821637643039,1.9984014443252818e-14,0,6.781669669395331
b1479,1,10,0.9497821637643239,0.9497821637643696,-4.574118861455645e-14,0,75.5358029101015
b1190,1,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308647
b4053,1,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308646
b2379,1,9,0.9497821637643239,0.9497821637642976,2.631228568361621e-14,0,44.71996812296771
b2290,1,13,0.9497821637643239,0.949782163764309,1.4876988529977098e-14,0,76.45198625283122
b3564,2,8,0.9497821637643239,0.9497821637642753,4.8627768478581856e-14,0,40.265073689905186
b0063,3,8,0.9497821637643239,0.949782163764327,-3.1086244689504383e-15,0,0.2152102161884724
b3752,1,10,0.9497821637643239,0.9497821637643696,-4.574118861455645e-14,0,75.5358029101015
b3926,1,6,0.9497821637643239,0.9497821637643253,-1.4432899320127035e-15,0,0.17732534589453125
b4383,2,191,0.9497821637643239,0.9497764168851742,5.746879149670647e-06,0,39.766028509600275
b0928,4,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.616643086465
b3925,1,10,0.9497821637643239,0.9497821637643614,-3.752553823233029e-14,0,75.53580290945877
b2930,1,10,0.9497821637643239,0.9497821637643696,-4.574118861455645e-14,0,75.5358029101015
b4232,1,10,0.9497821637643239,0.9497821637643696,-4.574118861455645e-14,0,75.5358029101015
b3697,6,10,0.9497821637643239,0.9497821637643487,-2.475797344914099e-14,0,39.76576410381362
b3430,1,10,0.9497821637643239,0.9497821637643696,-4.574118861455645e-14,0,75.5358029101015
b1676,1,8,0.9497821637643239,0.9497821637643282,-4.3298697960381105e-15,0,0.21521021618832503
b1854,5,10,0.9497821637643239,0.9497821637643127,1.1213252548714081e-14,0,75.53580290620289
b3197,1,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308646
b2708,1,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.616643086472
b0072,2,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308646
b0071,2,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.616643086458
b3671,2,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308646
b3670,2,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308646
b0078,2,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.616643086487
b0077,2,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308646
b0908,1,437,0.9497821637643239,0.0,0.9497821637643239,1,16956.61664308646
