gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
b0870,5,62,0.9259332133633107,0.9259332133632739,3.674838211509268e-14,0,0.44901338029918736
b2551,6,98,0.9259332133633107,0.9259332133632666,4.4075854077618715e-14,0,412.49149030443516
b3368,3,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111838
b2436,1,54,0.9259332133633107,0.9259332133632376,7.30526750203353e-14,0,0.24457748759521897
b3500,1,18,0.9259332133633107,0.9259332133632252,8.548717289613705e-14,0,0.7753236567462122
b0945,2,21,0.9259332133633107,0.9259332133632252,8.548717289613705e-14,0,1.0567718421418741
b4467,3,18,0.9259332133633107,0.925933213363317,-6.328271240363392e-15,0,0.7753236567457227
b2979,3,18,0.9259332133633107,0.925933213363317,-6.328271240363392e-15,0,0.7753236567457227
b4468,3,18,0.9259332133633107,0.925933213363317,-6.328271240363392e-15,0,0.7753236567457227
b3916,3,81,0.9259332133633107,0.9259332133632074,1.0325074129013956e-13,0,175.9263223755162
b1260,3,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111832
b1261,3,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.96895711183
b3426,1,16,0.9259332133633107,0.9259332133632932,1.7541523789077473e-14,0,2.6430025628263487
b2243,3,10,0.9259332133633107,0.9259332133632907,1.9984014443252818e-14,0,0.16854096875731112
b2242,3,10,0.9259332133633107,0.9259332133632907,1.9984014443252818e-14,0,0.16854096875731112
b2241,3,10,0.9259332133633107,0.9259332133632907,1.9984014443252818e-14,0,0.16854096875731112
b3770,5,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111834
b4054,4,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111832
b3281,1,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111838
b1692,3,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111832
b0243,1,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111842
b1613,1,14,0.9259332133633107,0.9259332133632646,4.6074255521943996e-14,0,3.455246757805271
b0414,2,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.96895711185
b3041,1,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111838
b0025,2,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111834
b0446,4,14,0.9259332133633107,0.9259332133632475,6.317169010117141e-14,0,6.475468906898543
b3812,2,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.96895711185
b0844,2,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111832
b1662,1,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111834
b0421,2,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111845
b3804,1,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111832
b3997,1,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.96895711183
b4382,2,16,0.9259332133633107,0.9259332133632089,1.0180745135812685e-13,0,3.3169866140248825
b0126,1,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111829
b0339,1,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111838
b4006,2,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111834
b2508,1,61,0.9259332133633107,0.9259332133632913,1.942890293094024e-14,0,7.457220017561263
b3846,19,168,0.9259332133633107,0.9259332133632715,3.9190872769268026e-14,0,267.95400766930965
b2341,16,170,0.9259332133633107,0.9259332133632774,3.3306690738754696e-14,0,267.9260234939834
b2400,1,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111827
b3993,1,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111856
b2066,4,20,0.9259332133633107,0.9259332133632578,5.284661597215745e-14,0,5.167743302190928
b0238,3,12,0.9259332133633107,0.9259332133632446,6.605826996519681e-14,0,0.8156330283828096
b0125,2,12,0.9259332133633107,0.9259332133632764,3.430589146091734e-14,0,0.8156330283825851
b2518,8,12,0.9259332133633107,0.9259332133632946,1.609823385706477e-14,0,0.4492205080393319
b0474,13,55,0.9259332133633107,0.9259332133632446,6.605826996519681e-14,0,29.959643678487396
b1062,1,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111838
b1281,1,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111838
b0720,1,12,0.9259332133633107,0.9259332133632884,2.2315482794965646e-14,0,6.690053674425479
b1136,1,16,0.9259332133633107,0.9259332133632604,5.029310301551959e-14,0,0.8156420953156718
b0351,1,14,0.9259332133633107,0.9259332133632704,4.030109579389318e-14,0,0.7753145898132837
b1241,3,14,0.9259332133633107,0.925933213363262,4.873879078104437e-14,0,0.5306412357072595
b4069,2,18,0.9259332133633107,0.9259332133632252,8.548717289613705e-14,0,0.7753236567462122
b4226,1,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111832
b2502,2,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111832
b2744,14,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111834
b3403,1,16,0.9259332133633107,0.9259332133632648,4.5852210917018965e-14,0,6.6900627413597675
b1479,1,14,0.9259332133633107,0.9259332133632253,8.537615059367454e-14,0,0.5306412357070295
b1190,1,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111836
b4053,1,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111845
b2379,1,19,0.9259332133633107,0.9259332133632624,4.829470157119431e-14,0,7.56081317682162
b2290,1,13,0.9259332133633107,0.9259332133632104,1.0025313912365164e-13,0,5.975902798758496
b3564,2,18,0.9259332133633107,0.9259332133632765,3.419486915845482e-14,0,5.349843851271877
b0063,3,10,0.9259332133633107,0.9259332133632913,1.942890293094024e-14,0,0.1685409687572525
b3752,1,18,0.9259332133633107,0.9259332133632252,8.548717289613705e-14,0,0.7753236567462122
b3926,1,18,0.9259332133633107,0.9259332133633187,-7.993605777301127e-15,0,0.7753236567472881
b4383,2,47,0.9259332133633107,0.9259332133632909,1.9761969838327786e-14,0,0.4129435151474555
b0928,4,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111834
b3925,1,12,0.9259332133633107,0.9259332133633281,-1.7430501486614958e-14,0,6.690053674437756
b2930,1,18,0.9259332133633107,0.9259332133632252,8.548717289613705e-14,0,0.7753236567462122
b4232,1,18,0.9259332133633107,0.9259332133632252,8.548717289613705e-14,0,0.7753236567462122
b3697,6,10,0.9259332133633107,0.925933213363297,1.3655743202889425e-14,0,3.455237690873627
b3430,1,18,0.9259332133633107,0.9259332133632252,8.548717289613705e-14,0,0.7753236567462122
b1676,1,18,0.9259332133633107,0.9259332133632011,1.0957901253050295e-13,0,5.349843851268119
b1854,5,16,0.9259332133633107,0.9259332133632959,1.4765966227514582e-14,0,6.6900627413615705
b3197,1,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111847
b2708,1,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111838
b0072,2,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.96895711184
b0071,2,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.96895711183
b3671,2,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111832
b3670,2,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111838
b0078,2,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111832
b0077,2,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111814
b0908,1,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111838
b1264,1,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111838
b1263,2,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111832
b2599,2,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111823
b2600,2,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111834
b2329,1,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111843
b1262,2,434,0.9259332133633107,0.0,0.9259332133633107,1,13837.968957111832
