gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
b0870,5,6,0.23148330334081493,0.23148330334081516,-2.220446049250313e-16,0,0.010533243864015388
b2551,6,65,0.23148330334081493,0.23148330334081368,1.2490009027033011e-15,0,2.960663450980498
b3368,3,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.097648581215
b2436,1,56,0.23148330334081493,0.23148330334081849,-3.552713678800501e-15,0,0.2005091446686869
b3500,1,8,0.23148330334081493,0.23148330334082093,-5.995204332975845e-15,0,0.14989444217851847
b0945,2,9,0.23148330334081493,0.2314833033408171,-2.1649348980190553e-15,0,0.21825021595193417
b4467,3,66,0.23148330334081493,0.23148330334082032,-5.384581669432009e-15,0,0.010573388887946695
b2979,3,66,0.23148330334081493,0.23148330334082032,-5.384581669432009e-15,0,0.010573388887946695
b4468,3,66,0.23148330334081493,0.23148330334082032,-5.384581669432009e-15,0,0.010573388887946695
b3916,3,57,0.23148330334081493,0.2314833033408095,5.440092820663267e-15,0,21.995148297167948
b1260,3,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812125
b1261,3,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812125
b3426,1,12,0.23148330334081493,0.23148330334082295,-8.021361352916756e-15,0,0.14989453810786346
b2243,3,0,0.23148330334081493,0.2314833033408264,-1.1463052729254741e-14,0,0.0
b2242,3,0,0.23148330334081493,0.2314833033408264,-1.1463052729254741e-14,0,0.0
b2241,3,0,0.23148330334081493,0.2314833033408264,-1.1463052729254741e-14,0,0.0
b3770,5,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812125
b4054,4,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.097648581213
b3281,1,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812114
b1692,3,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812134
b0243,1,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812128
b1613,1,10,0.23148330334081493,0.2314833033408195,-4.579669976578771e-15,0,0.20066027104819345
b0414,2,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812128
b3041,1,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812146
b0025,2,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812137
b0446,4,12,0.23148330334081493,0.23148330334081094,3.9968028886505635e-15,0,0.012784197120875113
b3812,2,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812125
b0844,2,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812123
b1662,1,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812125
b0421,2,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812125
b3804,1,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812143
b3997,1,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812125
b4382,2,12,0.23148330334081493,0.23148330334081263,2.3037127760972e-15,0,0.19201854130816795
b0126,1,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812153
b0339,1,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.097648581209
b4006,2,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812125
b2508,1,59,0.23148330334081493,0.23148330334081688,-1.942890293094024e-15,0,0.24332032963840675
b3846,19,130,0.23148330334081493,0.23148330334081754,-2.609024107869118e-15,0,2.612713350670349
b2341,16,130,0.23148330334081493,0.2314833033408239,-8.965050923848139e-15,0,2.6127133506714477
b2400,1,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812114
b3993,1,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812153
b2066,4,8,0.23148330334081493,0.2314833033408203,-5.35682609381638e-15,0,0.19201844537881257
b0238,3,12,0.23148330334081493,0.2314833033408224,-7.466249840604178e-15,0,0.14989500886178964
b0125,2,12,0.23148330334081493,0.23148330334081,4.9404924595819466e-15,0,0.1498950088618582
b2518,8,14,0.23148330334081493,0.23148330334081071,4.218847493575595e-15,0,0.10870249208806682
b0474,13,59,0.23148330334081493,0.23148330334080533,9.603429163007604e-15,0,1.9531174024707485
b1062,1,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.097648581214
b1281,1,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812116
b0720,1,415,0.23148330334081493,0.0,0.23148330334081493,1,1400.6560567116094
b1136,1,415,0.23148330334081493,0.0,0.23148330334081493,1,1400.6560567116144
b0351,1,6,0.23148330334081493,0.23148330334082348,-8.548717289613705e-15,0,0.20065970436495498
b1241,3,8,0.23148330334081493,0.23148330334081288,2.0539125955565396e-15,0,0.14989444217865233
b4069,2,12,0.23148330334081493,0.23148330334081754,-2.609024107869118e-15,0,0.09517533037932498
b4226,1,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812134
b2502,2,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.097648581213
b2744,14,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.097648581214
b3403,1,6,0.23148330334081493,0.2314833033408096,5.329070518200751e-15,0,0.20065970436492958
b1479,1,0,0.23148330334081493,0.23148330334082443,-9.492406860545088e-15,0,0.0
b1190,1,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812148
b4053,1,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.097648581214
b2379,1,13,0.23148330334081493,0.2314833033408039,1.1046719095020308e-14,0,0.2550821732645818
b2290,1,13,0.23148330334081493,0.23148330334081,4.9404924595819466e-15,0,0.15143793894494423
b3564,2,6,0.23148330334081493,0.23148330334081468,2.498001805406602e-16,0,0.20065970436482305
b0063,3,10,0.23148330334081493,0.23148330334081163,3.3029134982598407e-15,0,0.09701603672856085
b3752,1,0,0.23148330334081493,0.23148330334082443,-9.492406860545088e-15,0,0.0
b3926,1,8,0.23148330334081493,0.23148330334081516,-2.220446049250313e-16,0,0.1016812498471226
b4383,2,53,0.23148330334081493,0.2314833033408095,5.440092820663267e-15,0,0.01053236922140709
b0928,4,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812118
b3925,1,6,0.23148330334081493,0.2314833033408164,-1.4710455076283324e-15,0,0.2006597043648721
b2930,1,0,0.23148330334081493,0.23148330334082443,-9.492406860545088e-15,0,0.0
b4232,1,0,0.23148330334081493,0.23148330334082443,-9.492406860545088e-15,0,0.0
b3697,6,8,0.23148330334081493,0.2314833033408156,-6.661338147750939e-16,0,0.1498944421785241
b3430,1,0,0.23148330334081493,0.23148330334082443,-9.492406860545088e-15,0,0.0
b1676,1,10,0.23148330334081493,0.23148330334082,-5.079270337660091e-15,0,0.010533810547294176
b1854,5,6,0.23148330334081493,0.23148330334081985,-4.912736883966318e-15,0,0.20065970436487143
b3197,1,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.097648581214
b2708,1,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812168
b0072,2,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.097648581213
b0071,2,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812148
b3671,2,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812148
b3670,2,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812134
b0078,2,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812134
b0077,2,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812125
b0908,1,414,0.23148330334081493,0.0,0.23148330334081493,1,1266.0976485812173
