gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
b1377,,270,422,0.46292764329859126,0.0,0.46292764329859126,1,3771.0393534291525
b2215,,271,422,0.46292764329859126,0.0,0.46292764329859126,1,3771.0393534291525
b0929,,271,422,0.46292764329859126,0.0,0.46292764329859126,1,3771.0393534291525
b0241,,270,422,0.46292764329859126,0.0,0.46292764329859126,1,3771.0393534291525
b4034,,6,6,0.46292764329859126,0.4629276432983254,2.6584290324649373e-13,0,47.137936947798124
b4033,,6,0,0.46292764329859126,0.462927643298321,2.7028379534499436e-13,0,0.0
b4032,,6,0,0.46292764329859126,0.462927643298321,2.7028379534499436e-13,0,0.0
b4035,,6,0,0.46292764329859126,0.462927643298321,2.7028379534499436e-13,0,0.0
b4036,,7,6,0.46292764329859126,0.46292764329832786,2.634004125923184e-13,0,47.137936947797925
b4213,,8,4,0.46292764329859126,0.46292764329835184,2.39419595260415e-13,0,4.262809698769931e-08
b2835,,21,0,0.46292764329859126,0.46292764329830094,2.9032332093947844e-13,0,0.0
b2836,,23,126,0.46292764329859126,0.4629276432983223,2.6895152771544417e-13,0,10.634757871863323
b3553,,10,0,0.46292764329859126,0.4629276432983357,2.5557334026871104e-13,0,0.0
b1134,,2,4,0.46292764329859126,0.4629276432983261,2.6517676943171864e-13,0,4.2628096966516335e-08
b0446,,2,0,0.46292764329859126,0.46292764329832425,2.6700863742235015e-13,0,0.0
b1009,,1,0,0.46292764329859126,0.46292764329831715,2.7411406477995115e-13,0,0.0
b0954,,13,4,0.46292764329859126,0.4629276432983229,2.6834090505190034e-13,0,4.262809695357621e-08
b0180,,14,422,0.46292764329859126,0.0,0.46292764329859126,1,3312.440118189836
b0347,,2,0,0.46292764329859126,0.4629276432983347,2.565725409908737e-13,0,0.0
b3580,,2,0,0.46292764329859126,0.4629276432983196,2.716715741257758e-13,0,0.0
b1093,,14,422,0.46292764329859126,0.0,0.46292764329859126,1,3312.4401181898356
b2323,,13,422,0.46292764329859126,0.0,0.46292764329859126,1,3312.4401181898343
b1095,,9,422,0.46292764329859126,0.0,0.46292764329859126,1,3312.4401181898347
b1397,,2,0,0.46292764329859126,0.4629276432983233,2.6795232699328153e-13,0,0.0
b1245,,2,0,0.46292764329859126,0.46292764329859126,0.0,0,0.0
b1244,,2,0,0.46292764329859126,0.46292764329859126,0.0,0,0.0
