o2_bound,gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
-5.0,b0870,5,159,0.35343632816628134,0.35343290096722035,3.4271990609902048e-06,0,1.5406344022416985e-06
-5.0,b2551,6,407,0.35343632816628134,0.34703075776807857,0.006405570398202776,0,9.01550520222003
-5.0,b3368,3,411,0.35343632816628134,0.0,0.35343632816628134,1,1419.9908538243892
-5.0,b2436,1,191,0.35343632816628134,0.353431073154903,5.2550113783245145e-06,0,1.2183423473188618e-06
-5.0,b3500,1,0,0.35343632816628134,0.35343632816626885,1.2490009027033011e-14,0,0.0
-5.0,b0945,2,0,0.35343632816628134,0.3534363281662801,1.2212453270876722e-15,0,0.0
-5.0,b4467,3,0,0.35343632816628134,0.3534363281662801,1.2212453270876722e-15,0,0.0
-5.0,b2979,3,0,0.35343632816628134,0.3534363281662801,1.2212453270876722e-15,0,0.0
-5.0,b4468,3,0,0.35343632816628134,0.3534363281662801,1.2212453270876722e-15,0,0.0
-5.0,b3916,3,408,0.35343632816628134,0.3481468898590601,0.005289438307221228,0,458.19564391780193
-5.0,b1260,3,418,0.35343632816628134,8.057038832921943e-16,0.3534363281662805,1,1829.8126684600884
-5.0,b1261,3,418,0.35343632816628134,0.0,0.35343632816628134,1,1829.8126684601157
-5.0,b3426,1,8,0.35343632816628134,0.35343632816627174,9.603429163007604e-15,0,362.68787129360584
-5.0,b2243,3,8,0.35343632816628134,0.3534363281662847,-3.3306690738754696e-15,0,362.6878712936079
-5.0,b2242,3,8,0.35343632816628134,0.3534363281662847,-3.3306690738754696e-15,0,362.6878712936079
-5.0,b2241,3,8,0.35343632816628134,0.3534363281662847,-3.3306690738754696e-15,0,362.6878712936079
-5.0,b3770,5,415,0.35343632816628134,-3.1233606634106214e-15,0.35343632816628445,1,1814.0171902183693
-5.0,b4054,4,415,0.35343632816628134,0.0,0.35343632816628134,1,1814.0171902183295
-5.0,b3281,1,415,0.35343632816628134,0.0,0.35343632816628134,1,1814.0171902183295
-5.0,b1692,3,415,0.35343632816628134,1.7150367572396955e-31,0.35343632816628134,1,1814.017190218328
-5.0,b0243,1,415,0.35343632816628134,1.7150367572396955e-31,0.35343632816628134,1,1814.017190218328
-5.0,b1613,1,8,0.35343632816628134,0.3534363281662801,1.2212453270876722e-15,0,362.68787129360686
-5.0,b0414,2,415,0.35343632816628134,4.599608783902121e-22,0.35343632816628134,1,1814.0171902183447
-5.0,b3041,1,415,0.35343632816628134,0.0,0.35343632816628134,1,1814.0171902183215
-5.0,b0025,2,415,0.35343632816628134,0.0,0.35343632816628134,1,1814.017190218321
-5.0,b0446,4,8,0.35343632816628134,0.3534363281662836,-2.275957200481571e-15,0,362.6878712936074
-5.0,b3812,2,415,0.35343632816628134,-6.654613382150238e-15,0.353436328166288,1,1814.0171902183743
-5.0,b0844,2,415,0.35343632816628134,0.0,0.35343632816628134,1,1814.0171902183288
-5.0,b1662,1,415,0.35343632816628134,0.0,0.35343632816628134,1,1814.0171902183288
-5.0,b0421,2,415,0.35343632816628134,0.0,0.35343632816628134,1,1814.0171902183245
-5.0,b3804,1,415,0.35343632816628134,0.0,0.35343632816628134,1,1814.0171902183242
-5.0,b3997,1,415,0.35343632816628134,0.0,0.35343632816628134,1,1814.0171902183245
-5.0,b4382,2,8,0.35343632816628134,0.35343632816627746,3.885780586188048e-15,0,362.6878712936066
-5.0,b0126,1,429,0.35343632816628134,1.641755907963789e-14,0.3534363281662649,1,1674.0618560979092
-5.0,b0339,1,429,0.35343632816628134,-4.138091687399785e-14,0.3534363281663227,1,1674.0618560981322
-5.0,b4006,2,429,0.35343632816628134,-4.0342548142029506e-14,0.3534363281663217,1,1674.0618560981275
-5.0,b2508,1,343,0.35343632816628134,0.3519473827000617,0.0014889454662196377,0,362.9402552351185
-5.0,b3846,19,444,0.35343632816628134,0.3450592976368758,0.008377030529405527,0,367.99727107188835
-5.0,b2341,16,444,0.35343632816628134,0.3450592976368701,0.008377030529411245,0,367.99727107188636
-5.0,b2400,1,441,0.35343632816628134,-4.530480064524533e-16,0.3534363281662818,1,1709.4383880726805
-5.0,b3993,1,441,0.35343632816628134,0.0,0.35343632816628134,1,1709.4383880726864
-5.0,b2066,4,8,0.35343632816628134,0.3534363281662826,-1.27675647831893e-15,0,362.68787129360715
-5.0,b0238,3,8,0.35343632816628134,0.3534363281662782,3.164135620181696e-15,0,362.6878712936067
-5.0,b0125,2,8,0.35343632816628134,0.3534363281662782,3.164135620181696e-15,0,362.6878712936067
-5.0,b2518,8,16,0.35343632816628134,0.3534363281662782,3.164135620181696e-15,0,357.0864718535725
-5.0,b0474,13,93,0.35343632816628134,0.35343425954400015,2.0686222811927557e-06,0,358.8728440476976
