gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
b1377,,270,426,0.36679958966964815,0.0,0.36679958966964815,1,5565.446250137517
b2215,,271,426,0.36679958966964815,0.0,0.36679958966964815,1,5565.446250137517
b0929,,271,426,0.36679958966964815,0.0,0.36679958966964815,1,5565.446250137517
b0241,,270,426,0.36679958966964815,0.0,0.36679958966964815,1,5565.446250137517
b4034,,6,6,0.36679958966964815,0.3667995896696458,2.3314683517128287e-15,0,200.00000002676256
b4033,,6,0,0.36679958966964815,0.3667995896695694,7.877032359715486e-14,0,0.0
b4032,,6,0,0.36679958966964815,0.3667995896695694,7.877032359715486e-14,0,0.0
b4035,,6,0,0.36679958966964815,0.3667995896695694,7.877032359715486e-14,0,0.0
b4036,,7,6,0.36679958966964815,0.366799589669647,1.1657341758564144e-15,0,200.00000002676256
b4213,,8,4,0.36679958966964815,0.36679958966964843,-2.7755575615628914e-16,0,2.6762544333054493e-08
b2835,,21,0,0.36679958966964815,0.3667995896696607,-1.2545520178264269e-14,0,0.0
b2836,,23,452,0.36679958966964815,0.35443753005761636,0.012362059612031795,0,4.891498950473485
b3553,,10,0,0.36679958966964815,0.3667995896696195,2.864375403532904e-14,0,0.0
b1134,,2,4,0.36679958966964815,0.3667995896696458,2.3314683517128287e-15,0,2.6762544330802345e-08
b0446,,2,0,0.36679958966964815,0.36679958966964665,1.4988010832439613e-15,0,0.0
b1009,,1,0,0.36679958966964815,0.366799589669652,-3.83026943495679e-15,0,0.0
b0954,,13,4,0.36679958966964815,0.366799589669648,1.6653345369377348e-16,0,2.676254436287412e-08
b0180,,14,430,0.36679958966964815,0.0,0.36679958966964815,1,5442.366761411028
b0347,,2,4,0.36679958966964815,0.3667995896696574,-9.270362255620057e-15,0,2.676254434349336e-08
b3580,,2,0,0.36679958966964815,0.3667995896696428,5.329070518200751e-15,0,0.0
b1093,,14,430,0.36679958966964815,0.0,0.36679958966964815,1,5442.366761411026
b2323,,13,430,0.36679958966964815,0.0,0.36679958966964815,1,5442.366761411026
b1095,,9,430,0.36679958966964815,0.0,0.36679958966964815,1,5442.366761411026
b1397,,2,4,0.36679958966964815,0.36679958966964843,-2.7755575615628914e-16,0,2.6762544332143674e-08
b1245,,2,0,0.36679958966964815,0.36679958966964815,0.0,0,0.0
b1244,,2,0,0.36679958966964815,0.36679958966964815,0.0,0,0.0
b1329,,1,0,0.36679958966964815,0.36679958966964815,0.0,0,0.0
b1246,,2,0,0.36679958966964815,0.36679958966964815,0.0,0,0.0
b1247,,2,0,0.36679958966964815,0.36679958966964815,0.0,0,0.0
b1386,,3,0,0.36679958966964815,0.3667995896696403,7.827072323607354e-15,0,0.0
b0004,,2,430,0.36679958966964815,0.0,0.36679958966964815,1,5442.366761411026
b1192,,4,8,0.36679958966964815,0.3667995896696424,5.773159728050814e-15,0,1.4606816842105673e-05
b1243,,1,0,0.36679958966964815,0.36679958966964815,0.0,0,0.0
b4266,,1,0,0.36679958966964815,0.36679958966965,-1.8318679906315083e-15,0,0.0
b4265,,3,0,0.36679958966964815,0.36679958966964843,-2.7755575615628914e-16,0,0.0
b0159,,3,430,0.36679958966964815,0.0,0.36679958966964815,1,5442.366761411026
b3197,,1,430,0.36679958966964815,0.0,0.36679958966964815,1,5442.366761411028
b2708,,1,430,0.36679958966964815,0.0,0.36679958966964815,1,5442.366761411028
b1094,,26,430,0.36679958966964815,0.0,0.36679958966964815,1,5442.366761411027
b4481,,1,4,0.36679958966964815,0.3667995896696406,7.549516567451064e-15,0,2.676254434134772e-08
b1927,,1,0,0.36679958966964815,0.366799589669648,1.6653345369377348e-16,0,0.0
b3571,,1,0,0.36679958966964815,0.3667995896696305,1.765254609153999e-14,0,0.0
b2901,,1,0,0.36679958966964815,0.3667995896696433,4.829470157119431e-15,0,0.0
b1302,,1,4,0.36679958966964815,0.36679958966965454,-6.38378239159465e-15,0,2.676254432630961e-08
b2662,,1,4,0.36679958966964815,0.36679958966965454,-6.38378239159465e-15,0,2.676254432630961e-08
b1444,,1,0,0.36679958966964815,0.3667995896696495,-1.3322676295501878e-15,0,0.0
b2663,,1,0,0.36679958966964815,0.36679958966964205,6.106226635438361e-15,0,0.0
b2222,,3,4,0.36679958966964815,0.36679958966964704,1.1102230246251565e-15,0,2.6762544332397566e-08
b2221,,3,4,0.36679958966964815,0.36679958966964704,1.1102230246251565e-15,0,2.6762544332397566e-08
