gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
b1377,,270,426,0.4914671239229283,0.0,0.4914671239229283,1,6239.573639192166
b2215,,271,426,0.4914671239229283,0.0,0.4914671239229283,1,6239.573639192166
b0929,,271,426,0.4914671239229283,0.0,0.4914671239229283,1,6239.573639192166
b0241,,270,426,0.4914671239229283,0.0,0.4914671239229283,1,6239.573639192166
b4034,,6,6,0.4914671239229283,0.49146712392293457,-6.2727600891321345e-15,0,200.0000000480461
b4033,,6,0,0.4914671239229283,0.4914671239228711,5.717648576819556e-14,0,0.0
b4032,,6,0,0.4914671239229283,0.4914671239228711,5.717648576819556e-14,0,0.0
b4035,,6,0,0.4914671239229283,0.4914671239228711,5.717648576819556e-14,0,0.0
b4036,,7,6,0.4914671239229283,0.49146712392292685,1.4432899320127035e-15,0,200.0000000480461
b4213,,8,4,0.4914671239229283,0.4914671239229264,1.887379141862766e-15,0,4.804615748888963e-08
b2835,,21,0,0.4914671239229283,0.491467123922927,1.27675647831893e-15,0,0.0
b2836,,23,452,0.4914671239229283,0.47490345794728833,0.016563665975639963,0,8.781591391468204
b3553,,10,0,0.4914671239229283,0.4914671239229205,7.771561172376096e-15,0,0.0
b1134,,2,4,0.4914671239229283,0.4914671239229213,6.994405055138486e-15,0,4.804615748406178e-08
b0446,,2,0,0.4914671239229283,0.49146712392292596,2.3314683517128287e-15,0,0.0
b1009,,1,0,0.4914671239229283,0.49146712392292685,1.4432899320127035e-15,0,0.0
b0954,,13,4,0.4914671239229283,0.49146712392292896,-6.661338147750939e-16,0,4.804615748896723e-08
b0180,,14,430,0.4914671239229283,0.0,0.4914671239229283,1,6001.917563365063
b0347,,2,0,0.4914671239229283,0.49146712392292136,6.938893903907228e-15,0,0.0
b3580,,2,0,0.4914671239229283,0.49146712392291897,9.325873406851315e-15,0,0.0
b1093,,14,430,0.4914671239229283,0.0,0.4914671239229283,1,6001.917563365063
b2323,,13,430,0.4914671239229283,0.0,0.4914671239229283,1,6001.917563365063
b1095,,9,430,0.4914671239229283,0.0,0.4914671239229283,1,6001.917563365063
b1397,,2,0,0.4914671239229283,0.49146712392292385,4.440892098500626e-15,0,0.0
b1245,,2,0,0.4914671239229283,0.4914671239229283,0.0,0,0.0
b1244,,2,0,0.4914671239229283,0.4914671239229283,0.0,0,0.0
b1329,,1,0,0.4914671239229283,0.4914671239229283,0.0,0,0.0
b1246,,2,0,0.4914671239229283,0.4914671239229283,0.0,0,0.0
b1247,,2,0,0.4914671239229283,0.4914671239229283,0.0,0,0.0
b1386,,3,0,0.4914671239229283,0.4914671239229235,4.773959005888173e-15,0,0.0
b0004,,2,430,0.4914671239229283,0.0,0.4914671239229283,1,6001.917563365063
b1192,,4,4,0.4914671239229283,0.49146712392292463,3.6637359812630166e-15,0,2.6175223710551412e-05
b1243,,1,0,0.4914671239229283,0.4914671239229283,0.0,0,0.0
