gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
b0870,5,190,0.8217979336265792,0.8217930055324117,4.9280941674112455e-06,0,3.432324503610756
b2551,6,408,0.8217979336265792,0.7995714951079644,0.022226438518614722,0,25.888601275690387
b3368,3,433,0.8217979336265792,0.0,0.8217979336265792,1,15538.556224527874
b2436,1,247,0.8217979336265792,0.821780046752028,1.7886874551176213e-05,0,8.65809553352008e-06
b3500,1,6,0.8217979336265792,0.8217979336265646,1.454392162258955e-14,0,0.13275561114058732
b0945,2,3,0.8217979336265792,0.8217979336265867,-7.549516567451064e-15,0,0.2217017992007088
b4467,3,12,0.8217979336265792,0.8217979336266423,-6.317169010117141e-14,0,6.598529968008581
b2979,3,12,0.8217979336265792,0.8217979336266423,-6.317169010117141e-14,0,6.598529968008581
b4468,3,12,0.8217979336265792,0.8217979336266423,-6.317169010117141e-14,0,6.598529968008581
b3916,3,406,0.8217979336265792,0.8104295494070229,0.011368384219556216,0,237.88484388857796
b1260,3,433,0.8217979336265792,0.0,0.8217979336265792,1,15538.556224527863
b1261,3,433,0.8217979336265792,0.0,0.8217979336265792,1,15538.556224527867
b3426,1,6,0.8217979336265792,0.8217979336265949,-1.5765166949677223e-14,0,0.1327556111406204
b2243,3,6,0.8217979336265792,0.8217979336265853,-6.106226635438361e-15,0,2.5290121474601435
b2242,3,6,0.8217979336265792,0.8217979336265853,-6.106226635438361e-15,0,2.5290121474601435
b2241,3,6,0.8217979336265792,0.8217979336265853,-6.106226635438361e-15,0,2.5290121474601435
b3770,5,433,0.8217979336265792,0.0,0.8217979336265792,1,15538.556224527867
b4054,4,433,0.8217979336265792,0.0,0.8217979336265792,1,15538.556224527869
b3281,1,433,0.8217979336265792,0.0,0.8217979336265792,1,15538.556224527862
b1692,3,433,0.8217979336265792,0.0,0.8217979336265792,1,15538.556224527869
b0243,1,433,0.8217979336265792,0.0,0.8217979336265792,1,15538.556224527869
b1613,1,6,0.8217979336265792,0.82179793362659,-1.0880185641326534e-14,0,0.13275561114063436
b0414,2,433,0.8217979336265792,0.0,0.8217979336265792,1,15538.556224527867
b3041,1,433,0.8217979336265792,0.0,0.8217979336265792,1,15538.556224527872
b0025,2,433,0.8217979336265792,0.0,0.8217979336265792,1,15538.556224527867
