gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
b0870,5,159,0.35343632816628623,0.3534329009672194,3.4271990668188757e-06,0,0.6352663455292049
b2551,6,407,0.35343632816628623,0.3470307577680688,0.006405570398217431,0,9.190107055068612
b3368,3,419,0.35343632816628623,0.0,0.35343632816628623,1,6068.349428825688
b2436,1,189,0.35343632816628623,0.3534310731549065,5.255011379712293e-06,0,1.2764542608184825e-06
b3500,1,6,0.35343632816628623,0.35343632816629555,-9.325873406851315e-15,0,0.024555295783854902
b0945,2,3,0.35343632816628623,0.3534363281663005,-1.426636586643326e-14,0,0.04100733075360307
b4467,3,8,0.35343632816628623,0.3534363281662751,1.1102230246251565e-14,0,0.6352371923856756
b2979,3,8,0.35343632816628623,0.3534363281662751,1.1102230246251565e-14,0,0.6352371923856756
b4468,3,8,0.35343632816628623,0.3534363281662751,1.1102230246251565e-14,0,0.6352371923856756
b3916,3,404,0.35343632816628623,0.34814688985907627,0.005289438307209959,0,54.52028350224131
b1260,3,419,0.35343632816628623,0.0,0.35343632816628623,1,6068.349428825686
b1261,3,419,0.35343632816628623,0.0,0.35343632816628623,1,6068.349428825688
b3426,1,6,0.35343632816628623,0.3534363281662869,-6.661338147750939e-16,0,0.02455529578461029
b2243,3,6,0.35343632816628623,0.35343632816628257,3.6637359812630166e-15,0,0.46778166883087235
b2242,3,6,0.35343632816628623,0.35343632816628257,3.6637359812630166e-15,0,0.46778166883087235
b2241,3,6,0.35343632816628623,0.35343632816628257,3.6637359812630166e-15,0,0.46778166883087235
b3770,5,419,0.35343632816628623,0.0,0.35343632816628623,1,6068.34942882569
b4054,4,419,0.35343632816628623,0.0,0.35343632816628623,1,6068.349428825688
b3281,1,419,0.35343632816628623,0.0,0.35343632816628623,1,6068.349428825687
b1692,3,419,0.35343632816628623,0.0,0.35343632816628623,1,6068.349428825688
b0243,1,419,0.35343632816628623,0.0,0.35343632816628623,1,6068.349428825687
b1613,1,0,0.35343632816628623,0.3534363281662845,1.7208456881689926e-15,0,0.0
b0414,2,419,0.35343632816628623,0.0,0.35343632816628623,1,6068.349428825687
b3041,1,419,0.35343632816628623,0.0,0.35343632816628623,1,6068.349428825687
