pi_bound,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,l1_ko_highs
-0.5,b1377,,270,451,0.5183329169391334,0.0,0.5183329169391334,1,9431.364357891613,
-0.5,b2215,,271,451,0.5183329169391334,0.0,0.5183329169391334,1,9431.364357891613,
-0.5,b0929,,271,451,0.5183329169391334,0.0,0.5183329169391334,1,9431.364357891613,
-0.5,b0241,,270,451,0.5183329169391334,0.0,0.5183329169391334,1,9431.364357891613,
-0.5,b4034,,6,119,0.5183329169391334,0.5183329169392722,-1.3877787807814457e-13,0,2234.063471868619,
-0.5,b4033,,6,119,0.5183329169391334,0.5183329169392089,-7.549516567451064e-14,0,2234.063471868721,
-0.5,b4032,,6,119,0.5183329169391334,0.5183329169392089,-7.549516567451064e-14,0,2234.063471868721,
-0.5,b4035,,6,119,0.5183329169391334,0.5183329169392089,-7.549516567451064e-14,0,2234.063471868721,
-0.5,b4036,,7,185,0.5183329169391334,0.5183329169392261,-9.270362255620057e-14,0,1924.4085631877729,
-0.5,b4213,,8,185,0.5183329169391334,0.5183329169391636,-3.0198066269804264e-14,0,1924.4085631879632,
-0.5,b2835,,21,186,0.5183329169391334,0.5183329169391637,-3.0309088572266774e-14,0,1933.7030042099088,
-0.5,b2836,,23,182,0.5183329169391334,0.5183329169391544,-2.0983215165415465e-14,0,1960.1744164080576,
-0.5,b3553,,10,182,0.5183329169391334,0.5183329169392096,-7.616129948928575e-14,0,1960.174416407869,
-0.5,b1134,,2,182,0.5183329169391334,0.5183329169392096,-7.616129948928575e-14,0,1960.174416407869,
-0.5,b0446,,2,182,0.5183329169391334,0.5183329169392096,-7.616129948928575e-14,0,1960.174416407869,
-0.5,b1009,,1,182,0.5183329169391334,0.5183329169392096,-7.616129948928575e-14,0,1960.174416407869,
-0.5,b0954,,13,100,0.5183329169391334,0.5183329169392359,-1.0247358517290197e-13,0,2033.92548934524,
-0.5,b0180,,14,461,0.5183329169391334,1.363885933286487e-16,0.5183329169391333,1,5583.745634756943,
-0.5,b0347,,2,149,0.5183329169391334,0.5183329169392914,-1.579847364041598e-13,0,2109.9806376367696,
-0.5,b3580,,2,149,0.5183329169391334,0.5183329169392602,-1.267874694121929e-13,0,2109.980637636625,
-0.5,b1093,,14,467,0.5183329169391334,0.0,0.5183329169391334,1,7991.864800883667,
-0.5,b2323,,13,467,0.5183329169391334,-2.430126054476816e-30,0.5183329169391334,1,7991.864800883673,
-0.5,b1095,,9,467,0.5183329169391334,0.0,0.5183329169391334,1,7991.864800883667,
-0.5,b1397,,2,176,0.5183329169391334,0.5183329169393323,-1.988409437103656e-13,0,2386.237590488079,
-0.5,b1245,,2,176,0.5183329169391334,0.5183329169392988,-1.6542323066914832e-13,0,2386.237590487827,
-0.5,b1244,,2,176,0.5183329169391334,0.5183329169392988,-1.6542323066914832e-13,0,2386.237590487827,
-0.5,b1329,,1,176,0.5183329169391334,0.5183329169392988,-1.6542323066914832e-13,0,2386.237590487827,
-0.5,b1246,,2,176,0.5183329169391334,0.5183329169392988,-1.6542323066914832e-13,0,2386.237590487827,
-0.5,b1247,,2,176,0.5183329169391334,0.5183329169392988,-1.6542323066914832e-13,0,2386.237590487827,
-0.5,b1386,,3,176,0.5183329169391334,0.5183329169392988,-1.6542323066914832e-13,0,2386.237590487827,
-0.5,b0004,,2,503,0.5183329169391334,-1.773620662662505e-16,0.5183329169391336,1,3417.125849599482,
-0.5,b1192,,4,182,0.5183329169391334,0.5183329169392732,-1.397770788003072e-13,0,2573.7949016377534,
-0.5,b1243,,1,182,0.5183329169391334,0.518332916939119,1.4432899320127035e-14,0,2573.7949016365537,
