pi_bound,gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
-0.25,b0870,5,77,0.2591731753689938,0.259173175369026,-3.219646771412954e-14,0,1.1842042900681808e-06
-0.25,b2551,6,90,0.2591731753689938,0.2591731753689959,-2.1094237467877974e-15,0,46.21971025764036
-0.25,b3368,3,425,0.2591731753689938,-2.5257814993145173e-19,0.2591731753689938,1,3900.972533635052
-0.25,b2436,1,98,0.2591731753689938,0.2591731753689902,3.552713678800501e-15,0,46.2280352025159
-0.25,b3500,1,98,0.2591731753689938,0.2591731753690907,-9.692247004977617e-14,0,46.22803520278523
-0.25,b0945,2,111,0.2591731753689938,0.2591731753690917,-9.792167077193881e-14,0,49.28202752591292
-0.25,b4467,3,111,0.2591731753689938,0.2591731753690802,-8.643086246706846e-14,0,49.28202752588421
-0.25,b2979,3,111,0.2591731753689938,0.2591731753690802,-8.643086246706846e-14,0,49.28202752588421
-0.25,b4468,3,111,0.2591731753689938,0.2591731753690802,-8.643086246706846e-14,0,49.28202752588421
-0.25,b3916,3,114,0.2591731753689938,0.2591731753690761,-8.232303727595538e-14,0,143.7545060030067
-0.25,b1260,3,426,0.2591731753689938,-4.0043807620060696e-16,0.2591731753689942,1,3077.2094127485034
-0.25,b1261,3,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.209412748028
-0.25,b3426,1,115,0.2591731753689938,0.2591731753689406,5.3235194030776256e-14,0,130.56773959219305
-0.25,b2243,3,115,0.2591731753689938,0.2591731753689379,5.589972928987663e-14,0,130.5677395921911
-0.25,b2242,3,115,0.2591731753689938,0.2591731753689379,5.589972928987663e-14,0,130.5677395921911
-0.25,b2241,3,115,0.2591731753689938,0.2591731753689379,5.589972928987663e-14,0,130.5677395921911
-0.25,b3770,5,426,0.2591731753689938,7.117666751241391e-17,0.2591731753689937,1,3077.2094127478927
-0.25,b4054,4,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.2094127480195
-0.25,b3281,1,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.2094127480195
-0.25,b1692,3,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.209412748083
-0.25,b0243,1,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.209412748083
-0.25,b1613,1,118,0.2591731753689938,0.2591731753689745,1.9317880628477724e-14,0,130.60269714411208
-0.25,b0414,2,426,0.2591731753689938,1.7245786373945717e-18,0.2591731753689938,1,3077.209412748451
-0.25,b3041,1,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.209412748108
-0.25,b0025,2,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.2094127480987
-0.25,b0446,4,118,0.2591731753689938,0.2591731753690175,-2.3758772726978356e-14,0,130.60269714412107
-0.25,b3812,2,426,0.2591731753689938,-3.8761300893464896e-15,0.2591731753689977,1,3077.2094127478617
-0.25,b0844,2,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.209412748129
-0.25,b1662,1,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.209412748129
-0.25,b0421,2,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.2094127480486
-0.25,b3804,1,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.209412748131
-0.25,b3997,1,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.209412748153
-0.25,b4382,2,110,0.2591731753689938,0.2591731753690152,-2.142730437526552e-14,0,322.3187448075129
-0.25,b0126,1,426,0.2591731753689938,-1.5294695826465126e-14,0.2591731753690091,1,3077.2094127483624
-0.25,b0339,1,426,0.2591731753689938,-1.0774703071486924e-14,0.2591731753690046,1,3077.2094127482856
-0.25,b4006,2,426,0.2591731753689938,-9.42786518755106e-15,0.2591731753690032,1,3077.209412748264
-0.25,b2508,1,115,0.2591731753689938,0.2591731753690185,-2.4702462297909733e-14,0,319.60037927108715
-0.25,b3846,19,196,0.2591731753689938,0.2591731753689851,8.659739592076221e-15,0,331.3046292609281
-0.25,b2341,16,196,0.2591731753689938,0.2591731753690089,-1.5099033134902132e-14,0,331.30462926088484
-0.25,b2400,1,459,0.2591731753689938,-1.8561200836163843e-16,0.259173175368994,1,943.2082702026178
-0.25,b3993,1,459,0.2591731753689938,0.0,0.2591731753689938,1,943.2082702025184
-0.25,b2066,4,196,0.2591731753689938,0.2591731753690806,-8.676392937445598e-14,0,331.30462926075
-0.25,b0238,3,191,0.2591731753689938,0.2591731753690262,-3.236300116782331e-14,0,333.7546212147039
-0.25,b0125,2,191,0.2591731753689938,0.2591731753690223,-2.853273173286652e-14,0,333.75462121471094
-0.25,b2518,8,188,0.2591731753689938,0.2591731753690218,-2.8033131371785203e-14,0,295.2625068886961
-0.25,b0474,13,193,0.2591731753689938,0.2591731753690456,-5.179190409876355e-14,0,313.8196076030704
-0.25,b1062,1,454,0.2591731753689938,-9.280600418081922e-16,0.2591731753689947,1,417.8006398131837
-0.25,b1281,1,454,0.2591731753689938,0.0,0.2591731753689938,1,417.80063981326816
-0.25,b0720,1,454,0.2591731753689938,2.533695910510649e-16,0.2591731753689935,1,417.80063981327663
-0.25,b1136,1,454,0.2591731753689938,1.8574173734521794e-16,0.2591731753689936,1,417.800639813261
-0.25,b0351,1,200,0.2591731753689938,0.2591731753690837,-8.987255384340642e-14,0,396.7956401106681
-0.25,b1241,3,204,0.2591731753689938,0.2591731753692345,-2.40696351738734e-13,0,404.535919984868
-0.25,b4069,2,204,0.2591731753689938,0.2591731753690225,-2.8699265186560297e-14,0,404.5359199834254
-0.25,b4226,1,426,0.2591731753689938,4.766267755795394e-15,0.259173175368989,1,3077.209412748015
-0.25,b2502,2,426,0.2591731753689938,-3.0509107267082988e-15,0.2591731753689968,1,3077.209412748132
-0.25,b2744,14,426,0.2591731753689938,-3.0509107267082988e-15,0.2591731753689968,1,3077.209412748132
-0.25,b3403,1,174,0.2591731753689938,0.2591731753689503,4.3465231414074885e-14,0,346.886615316503
-0.25,b1479,1,174,0.2591731753689938,0.2591731753690747,-8.093525849517391e-14,0,346.88661531630544
-0.25,b1190,1,426,0.2591731753689938,2.99626560370517e-16,0.2591731753689935,1,3077.209412748201
-0.25,b4053,1,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.209412748085
-0.25,b2379,1,173,0.2591731753689938,0.2591731753690313,-3.7470027081099033e-14,0,387.1693148419709
-0.25,b2290,1,173,0.2591731753689938,0.2591731753690272,-3.341771304121721e-14,0,387.1693148419747
-0.25,b3564,2,173,0.2591731753689938,0.2591731753690272,-3.341771304121721e-14,0,387.1693148419747
-0.25,b0063,3,173,0.2591731753689938,0.2591731753690272,-3.341771304121721e-14,0,387.1693148419747
-0.25,b3752,1,173,0.2591731753689938,0.2591731753690272,-3.341771304121721e-14,0,387.1693148419747
-0.25,b3926,1,177,0.2591731753689938,0.2591731753690258,-3.2029934260435766e-14,0,389.45838053448654
-0.25,b4383,2,133,0.2591731753689938,0.259173175369035,-4.1244785364824565e-14,0,684.0714089298754
-0.25,b0928,4,438,0.2591731753689938,-6.30393488009914e-17,0.2591731753689938,1,1304.6567853219603
-0.25,b3925,1,175,0.2591731753689938,0.2591731753690461,-5.229150445984487e-14,0,1003.14305727046
-0.25,b2930,1,175,0.2591731753689938,0.2591731753690542,-6.045164369083977e-14,0,1003.1430572709515
-0.25,b4232,1,175,0.2591731753689938,0.2591731753690542,-6.045164369083977e-14,0,1003.1430572709515
-0.25,b3697,6,175,0.2591731753689938,0.2591731753690542,-6.045164369083977e-14,0,1003.1430572709515
-0.25,b3430,1,175,0.2591731753689938,0.2591731753690542,-6.045164369083977e-14,0,1003.1430572709515
-0.25,b1676,1,175,0.2591731753689938,0.2591731753690542,-6.045164369083977e-14,0,1003.1430572709515
-0.25,b1854,5,185,0.2591731753689938,0.2591731753690576,-6.38378239159465e-14,0,795.9939351503697
-0.25,b3197,1,426,0.2591731753689938,-1.4278104059458897e-15,0.2591731753689952,1,3077.2094127483388
-0.25,b2708,1,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.2094127480905
-0.25,b0072,2,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.2094127480905
-0.25,b0071,2,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.209412748127
-0.25,b3671,2,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.209412748127
-0.25,b3670,2,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.209412748085
-0.25,b0078,2,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.209412748085
-0.25,b0077,2,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.209412748085
-0.25,b0908,1,426,0.2591731753689938,1.374000852449259e-15,0.2591731753689924,1,3077.2094127480627
-0.25,b1264,1,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.209412748101
-0.25,b1263,2,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.209412748048
-0.25,b2599,2,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.209412748048
-0.25,b2600,2,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.2094127480755
-0.25,b2329,1,426,0.2591731753689938,0.0,0.2591731753689938,1,3077.2094127480755
-0.25,b1262,2,426,0.2591731753689938,-2.540008609500152e-30,0.2591731753689938,1,3077.2094127480595
-0.25,b2779,1,217,0.2591731753689938,0.2591731753746262,-5.632438959679576e-12,0,4783.975152775021
-0.25,b2097,1,217,0.2591731753689938,0.2591731753689894,4.440892098500626e-15,0,4783.975152730045
-0.25,b2925,2,217,0.2591731753689938,0.2591731753689894,4.440892098500626e-15,0,4783.975152730045
-0.25,b0963,1,217,0.2591731753689938,0.2591731753689894,4.440892098500626e-15,0,4783.975152730045
-0.25,b1702,1,336,0.2591731753689938,0.2591731753690187,-2.4868995751603507e-14,0,4953.525779327632
-0.25,b4025,1,293,0.2591731753689938,0.2591731753691228,-1.2900791546144324e-13,0,4693.449493189106
-0.25,b2926,1,246,0.2591731753689938,0.2591731753691494,-1.5565326805244697e-13,0,5607.878582247695
-0.25,b1850,2,276,0.2591731753689938,0.2591731753690881,-9.431344594190705e-14,0,5521.851613286175
-0.25,b0767,1,276,0.2591731753689938,0.2591731753691041,-1.1035616864774057e-13,0,5521.851613286188
-0.25,b3386,1,271,0.2591731753689938,0.2591731753691108,-1.1696199564426024e-13,0,5454.009761243387
-0.25,b2464,1,256,0.2591731753689938,0.2591731753687872,2.0655699373151042e-13,0,5367.27036750693
-0.25,b0008,1,256,0.2591731753689938,0.2591731753690445,-5.0681681074138396e-14,0,5367.270367509188
-0.25,b2465,2,473,0.2591731753689938,0.0,0.2591731753689938,1,5464.340182904748
-0.25,b2935,2,473,0.2591731753689938,0.0,0.2591731753689938,1,5464.340182904113
-0.25,b0678,1,236,0.2591731753689938,0.2591731753689307,6.311617894994015e-14,0,4468.015448119452
-0.25,b1478,2,236,0.2591731753689938,0.2591731753690026,-8.826273045769994e-15,0,4468.015448119386
-0.25,b3011,3,236,0.2591731753689938,0.2591731753690026,-8.826273045769994e-15,0,4468.015448119386
-0.25,b3003,1,236,0.2591731753689938,0.2591731753690026,-8.826273045769994e-15,0,4468.015448119386
-0.25,b4269,2,236,0.2591731753689938,0.2591731753690026,-8.826273045769994e-15,0,4468.015448119386
-0.25,b0493,1,236,0.2591731753689938,0.2591731753690026,-8.826273045769994e-15,0,4468.015448119386
-0.25,b3588,2,236,0.2591731753689938,0.2591731753690026,-8.826273045769994e-15,0,4468.015448119386
-0.25,b3903,2,236,0.2591731753689938,0.2591731753690026,-8.826273045769994e-15,0,4468.015448119386
-0.25,b3996,1,236,0.2591731753689938,0.2591731753690026,-8.826273045769994e-15,0,4468.015448119386
-0.25,b2411,1,236,0.2591731753689938,0.2591731753690026,-8.826273045769994e-15,0,4468.015448119386
-0.25,b0639,2,469,0.2591731753689938,-2.305058926528744e-12,0.2591731753712988,1,5234.754750451562
-0.25,b4390,1,236,0.2591731753689938,0.2591731753690015,-7.66053886991358e-15,0,4468.015448119385
-0.25,b2103,2,469,0.2591731753689938,-2.0219815144988976e-16,0.259173175368994,1,5234.754750441359
-0.25,b2418,4,236,0.2591731753689938,0.2591731753690973,-1.0352829704629585e-13,0,4468.015448119272
-0.25,b3831,1,236,0.2591731753689938,0.2591731753690848,-9.103828801926285e-14,0,4468.015448119288
-0.25,b4384,7,239,0.2591731753689938,0.2591731753690848,-9.103828801926285e-14,0,4468.011685270947
-0.25,b3073,1,239,0.2591731753689938,0.2591731753689838,9.992007221626407e-15,0,4468.011685271075
-0.25,b3008,2,469,0.2591731753689938,0.0,0.2591731753689938,1,5234.754750441332
-0.25,b3708,3,260,0.2591731753689938,0.259173175368998,-4.163336342344337e-15,0,4262.354656932556
