gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
b1377,,270,422,0.1036665833878256,0.0,0.1036665833878256,1,288.9328827148367
b2215,,271,422,0.1036665833878256,0.0,0.1036665833878256,1,288.9328827148367
b0929,,271,422,0.1036665833878256,0.0,0.1036665833878256,1,288.9328827148367
b0241,,270,422,0.1036665833878256,0.0,0.1036665833878256,1,288.9328827148367
b4034,,6,6,0.1036665833878256,0.1036665833878711,-4.5477510646207975e-14,0,2.827558629283772
b4033,,6,0,0.1036665833878256,0.1036665833878419,-1.634803403760543e-14,0,0.0
b4032,,6,0,0.1036665833878256,0.1036665833878419,-1.634803403760543e-14,0,0.0
b4035,,6,0,0.1036665833878256,0.1036665833878419,-1.634803403760543e-14,0,0.0
b4036,,7,6,0.1036665833878256,0.1036665833878429,-1.7263968032921184e-14,0,2.827558629283044
b4213,,8,4,0.1036665833878256,0.1036665833878238,1.7763568394002505e-15,0,2.1377026142125174e-09
b2835,,21,0,0.1036665833878256,0.1036665833878403,-1.4710455076283324e-14,0,0.0
b2836,,23,126,0.1036665833878256,0.1036665833878358,-1.0186296250935811e-14,0,0.5333090423016055
b3553,,10,0,0.1036665833878256,0.1036665833878077,1.784683512084939e-14,0,0.0
b1134,,2,4,0.1036665833878256,0.1036665833878449,-1.9304002840669913e-14,0,2.1377026147315513e-09
b0446,,2,0,0.1036665833878256,0.1036665833878433,-1.774969060619469e-14,0,0.0
b1009,,1,0,0.1036665833878256,0.1036665833878295,-3.8719027983802334e-15,0,0.0
b0954,,13,4,0.1036665833878256,0.10366658338784,-1.4377388168895777e-14,0,2.137702616670783e-09
b0180,,14,422,0.1036665833878256,0.0,0.1036665833878256,1,164.97529940478722
b0347,,2,0,0.1036665833878256,0.1036665833878406,-1.5029644195863057e-14,0,0.0
b3580,,2,0,0.1036665833878256,0.1036665833878389,-1.3322676295501878e-14,0,0.0
b1093,,14,422,0.1036665833878256,0.0,0.1036665833878256,1,164.9752994047871
b2323,,13,422,0.1036665833878256,0.0,0.1036665833878256,1,164.97529940478677
b1095,,9,422,0.1036665833878256,0.0,0.1036665833878256,1,164.9752994047869
b1397,,2,26,0.1036665833878256,0.1036665833878193,6.3005156647477626e-15,0,1.4546131013518062e-10
b1245,,2,0,0.1036665833878256,0.1036665833878256,0.0,0,0.0
b1244,,2,0,0.1036665833878256,0.1036665833878256,0.0,0,0.0
b1329,,1,0,0.1036665833878256,0.1036665833878256,0.0,0,0.0
b1246,,2,0,0.1036665833878256,0.1036665833878256,0.0,0,0.0
b1247,,2,0,0.1036665833878256,0.1036665833878256,0.0,0,0.0
b1386,,3,0,0.1036665833878256,0.1036665833878414,-1.5765166949677223e-14,0,0.0
b0004,,2,422,0.1036665833878256,0.0,0.1036665833878256,1,164.97529940478702
b1192,,4,4,0.1036665833878256,0.103666583387839,-1.3433698597964394e-14,0,1.164606017765303e-06
b1243,,1,0,0.1036665833878256,0.1036665833878256,0.0,0,0.0
b4266,,1,0,0.1036665833878256,0.1036665833878256,0.0,0,0.0
b4265,,3,0,0.1036665833878256,0.1036665833878378,-1.2156942119645464e-14,0,0.0
b0159,,3,422,0.1036665833878256,0.0,0.1036665833878256,1,164.97529940478785
b3197,,1,422,0.1036665833878256,0.0,0.1036665833878256,1,164.9752994047872
b2708,,1,422,0.1036665833878256,0.0,0.1036665833878256,1,164.97529940478742
b1094,,26,422,0.1036665833878256,0.0,0.1036665833878256,1,164.97529940478557
b4481,,1,0,0.1036665833878256,0.1036665833878257,-8.326672684688674e-17,0,0.0
b1927,,1,0,0.1036665833878256,0.1036665833878451,-1.9456658506555868e-14,0,0.0
b3571,,1,0,0.1036665833878256,0.103666583387854,-2.8421709430404014e-14,0,0.0
b2901,,1,0,0.1036665833878256,0.1036665833878813,-5.5663806897143786e-14,0,0.0
b1302,,1,4,0.1036665833878256,0.103666583387848,-2.2384871734004722e-14,0,2.1377026185194715e-09
b2662,,1,4,0.1036665833878256,0.103666583387848,-2.2384871734004722e-14,0,2.1377026185194715e-09
b1444,,1,0,0.1036665833878256,0.1036665833878501,-2.4466539905176887e-14,0,0.0
b2663,,1,0,0.1036665833878256,0.1036665833878359,-1.0352829704629583e-14,0,0.0
b2222,,3,4,0.1036665833878256,0.1036665833878518,-2.620126338115369e-14,0,2.1377026202883844e-09
b2221,,3,4,0.1036665833878256,0.1036665833878518,-2.620126338115369e-14,0,2.1377026202883844e-09
